id,gtin,title,brand,link,price,description,image_link,availability,quantity_to_sell_on_facebook,fb_product_category,google_product_category,currency,custom_label_0,custom_label_1,custom_label_2,custom_label_3,size,gender,condition,shipping,override
016399,4040218791099,Eyeshadow Pen Smoky Topaz,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/eyeshadow-pen?childSku=4040218791099,26.00 CHF,"En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,4 g",female,new,CH:::0.00 CHF,CH
016301,4040218829099,Eyeshadow Pen Cloudy Lilac,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/eyeshadow-pen?childSku=4040218829099,26.00 CHF,"En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,4 g",female,new,CH:::0.00 CHF,CH
002396,4040218846799,Sun Care Body Lotion SPF 50,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/sun-care-body-lotion-spf-50,57.00 CHF,"<p>Grâce à sa combinaison hautement dosée de filtres UV efficaces et de principes actifs naturels agissant au niveau cellulaire, ce lait solaire sans parfum, résistant à l’eau, protège corps et visage des agressions du soleil.</p>",https://image.labiosthetique.com/i/square-1440/m2-product:sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Soins de la peau,Soleil,,,200 ml,unisex,new,CH:::0.00 CHF,CH
120725,4040218855999,Spa Wellness Hair Shampoo,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/spa-wellness-hair-shampoo?childSku=4040218855999,27.00 CHF,Shampooing bien-être à usage quotidien,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Soins cheveux & cuir chevelu,Spa,,,250 ml,unisex,new,CH:::0.00 CHF,CH
120107,4040218871999,Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/glam-colour-icy-crystal-07-lv-colouring-conditioner,33.50 CHF,"Soin express et rafraîchissement de la couleur pour cheveux blonds et décolorés aux reflets froids avec les Complexe Protection Couleur et Complexe Brillance UV.No Yellow Conditioner .07 Crystal nourrit et restructure les cheveux naturellement blonds, colorés et décolorés aux reflets froids, leur apporte hydratation et de resplendissants reflets cristal.",https://image.labiosthetique.com/i/square-1440/m2-product:glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Soins cheveux & cuir chevelu,Glam Colour,Topseller,,150 ml,unisex,new,CH:::0.00 CHF,CH
019055,4040218888799,Automatic Pencil for Lips LL32 Rosewood,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/automatic-pencil-for-lips?childSku=4040218888799,28.00 CHF,Le crayon contour des lèvres résistant à l'eau définit parfaitement et embellit les lèvres.,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"0,35 g",unisex,new,CH:::0.00 CHF,CH
020607,4040218789898,Brilliant Nail Base & Top Coat,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/brilliant-nail-top-coat,21.00 CHF,Tout en un : Brilliant Nail Base &amp; Top Coat s’utilise aussi bien en base de vernis qu’en top coat pour protéger parfaitement les ongles et leur apporter une intense brillance.,https://image.labiosthetique.com/i/square-1440/m2-product:brilliant_nail_top_coat_247759_9ml_d91b577.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,9 ml,female,new,CH:::0.00 CHF,CH
017524,4040218875898,Pencil for Eyes Violet Silk,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/pencil-for-eyes?childSku=4040218875898,25.50 CHF,Ce khôl à la texture unique permet une application ultra-précise pour un effet naturel et rayonnant.,https://image.labiosthetique.com/i/square-1440/m2-product:pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,06 g",unisex,new,CH:::0.00 CHF,CH
002142,4040218879698,Harmonising Wellness Tea Sachets,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/harmonising-wellness-tea?childSku=4040218879698,13.00 CHF,La tisane harmonisante apporte au corps un équilibre bienfaisant de l'intérieur. Ses ingrédients issus de l'agriculture biologique contrôlée s'inspirent de la composition parfumée très appréciée des soins corporels Spa.,https://image.labiosthetique.com/i/square-1440/m2-product:harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Soins de la peau,Ligne corps bien-être Spa,,,30 g,unisex,new,CH:::0.00 CHF,CH
003737,4040218868197,Comforting Hydro Toner,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/comforting-hydro-toner?childSku=4040218868197,7.50 CHF,"Ce tonique bienfaisant soulage les symptômes d'une peau sensible irritée, l'hydrate intensément et la prépare de manière optimale aux étapes de soin suivantes. Pour tous les adeptes de Visalix Sensitif ce sera votre nouveau produit préféré.",https://image.labiosthetique.com/i/square-1440/m2-product:comforting_hydro_toner_392037_50ml_8643769.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Soins de la peau,Méthode Sensitive,,,50 ml,unisex,new,CH:::0.00 CHF,CH
