id,gtin,title,brand,link,price,description,image_link,availability,quantity_to_sell_on_facebook,fb_product_category,google_product_category,currency,custom_label_0,custom_label_1,custom_label_2,custom_label_3,size,gender,condition,shipping,override
016399,4040218791099,Eyeshadow Pen Smoky Topaz,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/eyeshadow-pen?childSku=4040218791099,23.50 EUR,"Utilizzabile sia come eyeliner che come ombretto: Eyeshadow Pen dalla consistenza cremosa, facile da stendere e sfumare.",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,4 g",female,new,IT:::0.00 EUR,it_IT
016301,4040218829099,Eyeshadow Pen Cloudy Lilac,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/eyeshadow-pen?childSku=4040218829099,23.50 EUR,"Utilizzabile sia come eyeliner che come ombretto: Eyeshadow Pen dalla consistenza cremosa, facile da stendere e sfumare.",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,4 g",female,new,IT:::0.00 EUR,it_IT
002396,4040218846799,Sun Care Body Lotion SPF 50,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/sun-care-body-lotion-spf-50,54.50 EUR,"<p>Grazie a una combinazione di filtri UV altamente efficaci e ingredienti naturali ad azione cellulare, la lozione solare resistente all’acqua e priva di profumo protegge la pelle del viso e del corpo dai danni causati dal sole.</p>",https://image.labiosthetique.com/i/square-1440/m2-product:sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Pelle & corpo,Soleil,,,200 ml,unisex,new,IT:::0.00 EUR,it_IT
120725,4040218855999,Spa Wellness Hair Shampoo,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/spa-wellness-hair-shampoo?childSku=4040218855999,23.00 EUR,Shampoo wellness per capelli,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Capelli,Spa,Topseller,,250 ml,unisex,new,IT:::0.00 EUR,it_IT
120107,4040218871999,Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/glam-colour-icy-crystal-07-lv-colouring-conditioner,31.00 EUR,"Trattamento rapido e rivitalizzante del colore per i capelli biondo-freddo, o decolorati, con complesso protettivo del colore e complesso lucentezza UV. No Yellow Conditioner .07 Crystal tratta e ristruttura le tonalità bionde fredde di capelli naturali, colorati o decolorati, li idrata e ne rivitalizza la luminosa brillantezza cristallina.",https://image.labiosthetique.com/i/square-1440/m2-product:glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Capelli,Glam Colour,,,150 ml,unisex,new,IT:::0.00 EUR,it_IT
019055,4040218888799,Automatic Pencil for Lips LL32 Rosewood,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/automatic-pencil-for-lips?childSku=4040218888799,24.50 EUR,"La matita contorno labbra, resistente all’acqua garantisce labbra meravigliose e ben definite.",https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"0,35 g",unisex,new,IT:::0.00 EUR,it_IT
020607,4040218789898,Brilliant Nail Top Coat,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/brilliant-nail-top-coat,19.00 EUR,"Finish lucido, protettivo, a lunga durata, tutto in un solo prodotto: Brilliant Nail Top Coat si applica come fissatore sopra lo smalto colorato, lo protegge e ne prolunga la durata.",https://image.labiosthetique.com/i/square-1440/m2-product:brilliant_nail_top_coat_247759_9ml_d91b577.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,9 ml,female,new,IT:::0.00 EUR,it_IT
017524,4040218875898,Pencil for Eyes Violet Silk,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/pencil-for-eyes?childSku=4040218875898,21.50 EUR,La consistenza morbida e unica di questa straordinaria matita delicata permette un’applicazione estremamente precisa. Dona all’occhio un’espressività vivace e naturale.,https://image.labiosthetique.com/i/square-1440/m2-product:pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,06 g",unisex,new,IT:::0.00 EUR,it_IT
002142,4040218879698,Harmonising Wellness Tea Bustine,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/harmonising-wellness-tea?childSku=4040218879698,11.00 EUR,"La tisana armonizzante Wellness Tea porta il corpo a raggiungere un rilassato equilibrio, agendo dall'interno. I suoi ingredienti, provenienti da coltivazioni biologiche controllate, si ispirano all’apprezzata fragranza della linea Spa.",https://image.labiosthetique.com/i/square-1440/m2-product:harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Pelle & corpo,Trattamento corpo Spa,,,30 g,unisex,new,IT:::0.00 EUR,it_IT
003939,4040218802597,Homme Hair Beard Body Wash,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/hair-beard-body-wash?childSku=4040218802597,9.50 EUR,"3 in 1: Gel doccia, shampoo e shampoo per barba in un unico prodotto. Questo prodotto tutto in uno dal profumo inebriante deterge delicatamente, prendendosi cura della pelle e dei capelli.",https://image.labiosthetique.com/i/square-1440/m2-product:homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/feed-media.jpg,in stock,100,"health & beauty > beauty > hair care & styling,health & beauty > beauty > skin care","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",EUR,"Capelli,Pelle & corpo",Homme,,,75 ml,male,new,IT:::0.00 EUR,it_IT
