id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
016399;Eyeshadow Pen Smoky Topaz;make-up;Eyeshadow Pen Smoky Topaz;;;;;;;;;;;https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218791099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;;https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218791099;;;;;;;;;;;;;;;;Practical eyeshadow pen. Rapidly and easily creates a perfect, smudge and waterproof eye.;;;;;;;;;;;;;;;;;;;
016301;Eyeshadow Pen Cloudy Lilac;make-up;Eyeshadow Pen Cloudy Lilac;;;;;;;;;;;https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218829099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;;https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218829099;;;;;;;;;;;;;;;;Practical eyeshadow pen: Rapidly and easily creates a perfect, smudge and waterproof eye make-up look;;;;;;;;;;;;;;;;;;;
120725;Spa Wellness Hair Shampoo;hair care;Spa Wellness Hair Shampoo;;;;;;;;;;;https://www.labiosthetique.ca/en/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;;https://www.labiosthetique.ca/en/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;;;;;;;;;;;;Wellness shampoo for daily hair-washing.;;;;;;;;;;;;;;;;;;;
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;hair care;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;;;;;;;;;;;https://www.labiosthetique.ca/en/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;;https://www.labiosthetique.ca/en/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;;;;;;;;;;;;Express care and color refresher for cool, blonde and bleached hair with color.;;;;;;;;;;;;;;;;;;;
003794;Visalix Clarifiant;skin & body care;Visalix Clarifiant;;;;;;;;;;;https://www.labiosthetique.ca/en/visalix-clarifiant;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg;;https://www.labiosthetique.ca/en/visalix-clarifiant;;;;;;;;;;;;;;;;Skin-clarifying facial lotion for fortify blemished skin, with an astringent effect to supply…;;;;;;;;;;;;;;;;;;;
017524;Pencil for Eyes Violet Silk;make-up;Pencil for Eyes Violet Silk;;;;;;;;;;;https://www.labiosthetique.ca/en/pencil-for-eyes?childSku=4040218875898;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;;https://www.labiosthetique.ca/en/pencil-for-eyes?childSku=4040218875898;;;;;;;;;;;;;;;;Soft eye pencil for natural looking eyes – every day;;;;;;;;;;;;;;;;;;;
003939;Homme Hair Beard Body Wash;hair care,skin & body care;Homme Hair Beard Body Wash;;;;;;;;;;;https://www.labiosthetique.ca/en/hair-beard-body-wash?childSku=4040218802597;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;;https://www.labiosthetique.ca/en/hair-beard-body-wash?childSku=4040218802597;;;;;;;;;;;;;;;;For skin, hair and beard. An exciting energising shower gel that gently cleanses and contains an extra portion of moisture to protect the hair and skin against dehydration.;;;;;;;;;;;;;;;;;;;
003737;Comforting Hydro Toner;skin & body care;Comforting Hydro Toner;;;;;;;;;;;https://www.labiosthetique.ca/en/comforting-hydro-toner?childSku=4040218868197;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;;https://www.labiosthetique.ca/en/comforting-hydro-toner?childSku=4040218868197;;;;;;;;;;;;;;;;Skin-calming, hydrating toner;;;;;;;;;;;;;;;;;;;
021278;Liquid Glam;make-up;Liquid Glam;;;;;;;;;;;https://www.labiosthetique.ca/en/liquid-glam;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;;https://www.labiosthetique.ca/en/liquid-glam;;;;;;;;;;;;;;;;Transparent all over glitter gel;;;;;;;;;;;;;;;;;;;
120295;Shampooing Lipokérine A;hair care;Shampooing Lipokérine A;;;;;;;;;;;https://www.labiosthetique.ca/en/shampooing-lipokerine-a;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg;;https://www.labiosthetique.ca/en/shampooing-lipokerine-a;;;;;;;;;;;;;;;;Fortifying shampoo to combat oily scalps.;;;;;;;;;;;;;;;;;;;
