id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
016399;Eyeshadow Pen Smoky Topaz;Make-Up;Eyeshadow Pen Smoky Topaz;;;;;;;;;;;https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218791099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;;https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218791099;;;;;;;;;;;;;;;;Praktischer Eyeshadow Pen: Kreiert schnell und einfach ein perfektes, wisch- und wasserfestes Augen-Make-up;;;;;;;;;;;;;;;;;;;
016301;Eyeshadow Pen Cloudy Lilac;Make-Up;Eyeshadow Pen Cloudy Lilac;;;;;;;;;;;https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218829099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;;https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218829099;;;;;;;;;;;;;;;;Praktischer Eyeshadow Pen: Kreiert schnell und einfach ein perfektes, wisch- und wasserfestes Augen-Make-up;;;;;;;;;;;;;;;;;;;
002396;Sun Care Body Lotion SPF 50;Haut- & Körperpflege;Sun Care Body Lotion SPF 50;;;;;;;;;;;https://www.labiosthetique.de/sun-care-body-lotion-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;;https://www.labiosthetique.de/sun-care-body-lotion-spf-50;;;;;;;;;;;;;;;;Sonnenlotion mit SPF 50;;;;;;;;;;;;;;;;;;;
120725;Spa Wellness Hair Shampoo;Haarpflege;Spa Wellness Hair Shampoo;;;;;;;;;;;https://www.labiosthetique.de/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;;https://www.labiosthetique.de/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;;;;;;;;;;;;Wellness-Shampoo für die tägliche Haarwäsche;;;;;;;;;;;;;;;;;;;
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Haarpflege;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;;;;;;;;;;;https://www.labiosthetique.de/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;;https://www.labiosthetique.de/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;;;;;;;;;;;;Farbconditioner mit Farbschutz und UV-Glanz-Komplex für blondiertes, coloriertes und naturblondes Haar.;;;;;;;;;;;;;;;;;;;
019055;Automatic Pencil for Lips LL32 Rosewood;Make-Up;Automatic Pencil for Lips LL32 Rosewood;;;;;;;;;;;https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218888799;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg;;https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218888799;;;;;;;;;;;;;;;;Wasserfester Lippenkonturen-Stift für präzise Lippenkonturen;;;;;;;;;;;;;;;;;;;
020607;Brilliant Nail Top Coat;Make-Up;Brilliant Nail Top Coat;;;;;;;;;;;https://www.labiosthetique.de/brilliant-nail-top-coat;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;;https://www.labiosthetique.de/brilliant-nail-top-coat;;;;;;;;;;;;;;;;Versiegelnder Transparentlack in Hochglanzoptik: Kann zum Schutz der Nägel über und anstatt eines Farblacks aufgetragen werden;;;;;;;;;;;;;;;;;;;
017524;Pencil for Eyes Violet Silk;Make-Up;Pencil for Eyes Violet Silk;;;;;;;;;;;https://www.labiosthetique.de/pencil-for-eyes?childSku=4040218875898;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;;https://www.labiosthetique.de/pencil-for-eyes?childSku=4040218875898;;;;;;;;;;;;;;;;Sanfter Kajal für natürliche Augenblicke – Tag für Tag;;;;;;;;;;;;;;;;;;;
002142;Harmonising Wellness Tea Beutel;Haut- & Körperpflege;Harmonising Wellness Tea Beutel;;;;;;;;;;;https://www.labiosthetique.de/harmonising-wellness-tea?childSku=4040218879698;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg;;https://www.labiosthetique.de/harmonising-wellness-tea?childSku=4040218879698;;;;;;;;;;;;;;;;Wellness Tee aus kontrolliert biologischem Anbau;;;;;;;;;;;;;;;;;;;
003737;Comforting Hydro Toner;Haut- & Körperpflege;Comforting Hydro Toner;;;;;;;;;;;https://www.labiosthetique.de/comforting-hydro-toner?childSku=4040218868197;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;;https://www.labiosthetique.de/comforting-hydro-toner?childSku=4040218868197;;;;;;;;;;;;;;;;Hautberuhigender, feuchtigkeitspendender Toner für empfindliche Haut;;;;;;;;;;;;;;;;;;;
120931;Hairloss Control Scalp Concentrate;Haarpflege;Hairloss Control Scalp Concentrate;;;;;;;;;;;https://www.labiosthetique.de/hairloss-control-scalp-concentrate;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;;https://www.labiosthetique.de/hairloss-control-scalp-concentrate;;;;;;;;;;;;;;;;Kopfhautkonzentrat gegen Haarausfall zur Förderung des Haarwachstums;;;;;;;;;;;;;;;;;;;
002739;Clarifying Spot Gel;Haut- & Körperpflege;Clarifying Spot Gel;;;;;;;;;;;https://www.labiosthetique.de/clarifying-spot-gel;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg;;https://www.labiosthetique.de/clarifying-spot-gel;;;;;;;;;;;;;;;;Klärendes Hydrogel bei Unreinheiten;;;;;;;;;;;;;;;;;;;
021278;Liquid Glam;Make-Up;Liquid Glam;;;;;;;;;;;https://www.labiosthetique.de/liquid-glam;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;;https://www.labiosthetique.de/liquid-glam;;;;;;;;;;;;;;;;Transparentes all over Glitter Gel;;;;;;;;;;;;;;;;;;;
002628;Sun Care Stick SPF 50+;Haut- & Körperpflege;Sun Care Stick SPF 50+;;;;;;;;;;;https://www.labiosthetique.de/sun-care-stick-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg;;https://www.labiosthetique.de/sun-care-stick-spf-50;;;;;;;;;;;;;;;;Cremestick mit UVA und UVB Filter;;;;;;;;;;;;;;;;;;;
123212;Colour Protection Structure Restoring Treatment;Haarpflege;Colour Protection Structure Restoring Treatment;;;;;;;;;;;https://www.labiosthetique.de/colour-protection-structure-restoring-treatment;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg;;https://www.labiosthetique.de/colour-protection-structure-restoring-treatment;;;;;;;;;;;;;;;;Restrukturierende Intensivbehandlung;;;;;;;;;;;;;;;;;;;
002241;After Sun Soothing Hydro Spray;Haut- & Körperpflege;After Sun Soothing Hydro Spray;;;;;;;;;;;https://www.labiosthetique.de/after-sun-soothing-hydro-spray;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg;;https://www.labiosthetique.de/after-sun-soothing-hydro-spray;;;;;;;;;;;;;;;;Beruhigt und entspannt sonnengestresste Haut sofort und spendet wertvolle Feuchtigkeit;;;;;;;;;;;;;;;;;;;
120613;Fortifying Shampoo;Haarpflege;Fortifying Shampoo;;;;;;;;;;;https://www.labiosthetique.de/fortifying-shampoo;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg;;https://www.labiosthetique.de/fortifying-shampoo;;;;;;;;;;;;;;;;Shampoo stärkt die Haarwurzeln für geschwächtes, brüchiges Haar;;;;;;;;;;;;;;;;;;;
053518;Seifenschale;Haut- & Körperpflege;Seifenschale;;;;;;;;;;;https://www.labiosthetique.de/seifenschale;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/seifenschale_280291_1St_ck_af203e0.jpg/seifenschale_280291_1St_ck_af203e0.jpg;;https://www.labiosthetique.de/seifenschale;;;;;;;;;;;;;;;;Stilvolle Seifenschale – passend zur Le Savon Spa Seife: aus edlem, satinierten Acryl mit rutschfesten Gummifüßen an der Unterseite;;;;;;;;;;;;;;;;;;;
016756;Magic Shadow 47 Smooth Cappuccino;Make-Up;Magic Shadow 47 Smooth Cappuccino;;;;;;;;;;;https://www.labiosthetique.de/magic-shadow?childSku=4040218824094;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg;;https://www.labiosthetique.de/magic-shadow?childSku=4040218824094;;;;;;;;;;;;;;;;Magischer Puder-Lidschatten mit langanhaltender, samtiger Textur;;;;;;;;;;;;;;;;;;;
017622;Brow Definer B01 Dark Brown;Make-Up;Brow Definer B01 Dark Brown;;;;;;;;;;;https://www.labiosthetique.de/brow-definer?childSku=4040218889994;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg/brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg;;https://www.labiosthetique.de/brow-definer?childSku=4040218889994;;;;;;;;;;;;;;;;Automatikstift mit Bürstchen;;;;;;;;;;;;;;;;;;;
016966;Eyeshadow Pen Macadamia;Make-Up;Eyeshadow Pen Macadamia;;;;;;;;;;;https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218814293;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg;;https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218814293;;;;;;;;;;;;;;;;Praktischer Eyeshadow Pen: Kreiert schnell und einfach ein perfektes, wisch- und wasserfestes Augen-Make-up;;;;;;;;;;;;;;;;;;;
019462;Sensual Lipstick Brilliant B236 Sparkling Sorbet;Make-Up;Sensual Lipstick Brilliant B236 Sparkling Sorbet;;;;;;;;;;;https://www.labiosthetique.de/sensual-lipstick-brilliant?childSku=4040218830293;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg;;https://www.labiosthetique.de/sensual-lipstick-brilliant?childSku=4040218830293;;;;;;;;;;;;;;;;Lippenstift für unwiderstehliche Hollywood-Lippen;;;;;;;;;;;;;;;;;;;
120772;Volume Strengthening Shampoo;Haarpflege;Volume Strengthening Shampoo;;;;;;;;;;;https://www.labiosthetique.de/volume-strengthening-shampoo?childSku=4040218843293;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg;;https://www.labiosthetique.de/volume-strengthening-shampoo?childSku=4040218843293;;;;;;;;;;;;;;;;Stärkendes, volumenaufbauendes Shampoo für stark geschädigtes Haar;;;;;;;;;;;;;;;;;;;
