guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218791099;43,00;Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend. Use as an eyeshadow or as a eyeliner.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-Up > make-up categories > eye shadow | Default Category > Make-Up > category > eyes | Default Category > Make-Up > colour > grey >  silber;2026-01-29T01:03:29.690Z;woman;1,4 g
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218829099;43,00;Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Make-Up > colour > violet | Default Category > Make-Up > make-up categories > eye shadow | Default Category > Make-Up > category > eyes | Default Category > Make-Up > colour > grey >  silber;2026-01-29T01:03:29.691Z;woman;1,4 g
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/spa-wellness-hair-shampoo?childSku=4040218855999;40,00;Wellness shampoo for daily hair-washing.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Hair & scalp care > Methode > Spa | Default Category > Hair & scalp care > category > shampoo;2026-01-29T01:03:29.691Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/glam-colour-icy-crystal-07-lv-colouring-conditioner;46,00;No Yellow Conditioner .07 Crystal conditions and fortifies cool naturally blonde, colored and bleached hair. The hair is not only moisturized, it is left refreshed with a radiant crystal shimmer. ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Hair & scalp care > hair type > coloured hair | Default Category > Hair & scalp care > Methode > Glam Colour | Default Category > Hair & scalp care > customer's needs > colour protection | Default Category > Hair & scalp care > category > conditioner;2026-01-29T01:03:29.691Z;;150 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/pencil-for-eyes?childSku=4040218875898;35,00;The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-Up > colour > violet | Default Category > Make-Up > make-up categories > pencil for eyes | Default Category > Make-Up > category > eyes;2026-01-29T01:03:29.692Z;;1,06 g
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/hair-beard-body-wash?childSku=4040218802597;25,00;3 in 1: Shower gel, shampoo and beard shampoo in one. This delightfully scented all in one product gently and reliably cleanses whilst conditioning skin and hair.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Hair & scalp care > hair type > normal scalp | Default Category > Hair & scalp care > hair type > natural hair | Default Category > Hair & scalp care > Methode > Homme | Default Category > Hair & scalp care > customer's needs > repair/regenerate | Default Category > Hair & scalp care > category > shampoo | Default Category > Hair & scalp care > other products > travel sizes | Default Category > Skin care > skin type > normal skin | Default Category > Skin care > customer needs > more moisture /protection | Default Category > Skin care > category > hand / body care | Default Category > Skin care > Methode > Homme | Default Category > Skin care > other products > travel sizes;2026-01-29T01:03:29.692Z;man;75 ml
003737;Comforting Hydro Toner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/comforting-hydro-toner?childSku=4040218868197;25,00;The soothing toner alleviates the symptoms of sensitive, irritated skin, supplies it with rich moisture and perfectly prepares it for the subsequent care steps.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;Y;Home | Default Category > Skin care > skin type > sensitive skin | Default Category > Skin care > skin type > dehydrated skin | Default Category > Skin care > skin type > mixed skin | Default Category > Skin care > skin type > dry skin | Default Category > Skin care > customer needs > more moisture /protection | Default Category > Skin care > category > facial cleansing / toning | Default Category > Skin care > Methode > Méthode Sensitive | Default Category > Skin care > other products > travel sizes;2026-01-29T01:03:29.693Z;;50 ml
002739;Clarifying Spot Gel;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/clarifying-spot-gel;43,00;Clarifying hydrogel for the targeted and effective treatment of areas of skin containing spots and blackheads.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg;Y;Home | Default Category > Skin care > skin type > mixed skin | Default Category > Skin care > skin type > impure skin | Default Category > Skin care > customer needs > treat skin impurities | Default Category > Skin care > category > facial care | Default Category > Skin care > Methode > Méthode Clarifiante;2026-01-29T01:03:29.693Z;;15 ml
021278;Liquid Glam;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/liquid-glam;61,00;The transparent and versatile glitter gel conjures up sparkling highlights on the skin and emphasises the eyes, cheekbones, lips or décolleté.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;Y;Home | Default Category > Make-Up > colour > transparent | Default Category > Make-Up > category > complexion;2026-01-29T01:03:29.693Z;;4 ml
123212;Colour Protection Structure Restoring Treatment;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/colour-protection-structure-restoring-treatment;84,00;In two phases, the deep-conditioning hair care repairs and regenerates the internal and external structure of chemically stressed hair, strengthens the hair, prevents hair breakage and protects the hair against negative environmental influences and premature colour loss.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg;Y;Home | Default Category > Hair & scalp care > customer's needs > colour protection | Default Category > Hair & scalp care > category > treatment | Default Category > Hair & scalp care > Methode > Colour Protection | Default Category > Hair & scalp care > hair type > coloured hair;2026-01-29T01:03:29.694Z;;1 set
