guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/eyeshadow-pen?childSku=4040218791099;43,00;Stylo fard à paupières avec une texture douce et crémeuse facile à appliquer et à estomper. S'emploie comme fard à paupières ou  eyeliner.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-up > Type de maquillage > Ombre à paupières | Default Category > Make-up > Categorie > Yeux | Default Category > Make-up > Nuances > gris > argenté;2026-02-08T01:15:31.037Z;Femme;1,4 g
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/eyeshadow-pen?childSku=4040218829099;43,00;Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Make-up > Nuances > violet | Default Category > Make-up > Type de maquillage > Ombre à paupières | Default Category > Make-up > Categorie > Yeux | Default Category > Make-up > Nuances > gris > argenté;2026-02-08T01:15:31.037Z;Femme;1,4 g
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/spa-wellness-hair-shampoo?childSku=4040218855999;40,00;Shampooing bien-être à usage quotidien;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Soins cheveux & cuir chevelu > Methode > Spa | Default Category > Soins cheveux & cuir chevelu > Besoin > Shampooing;2026-02-08T01:15:31.037Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/glam-colour-icy-crystal-07-lv-colouring-conditioner;46,00;"No Yellow Conditioner .07 Crystal revitalise et fortifie les cheveux naturellement blonds, colorés et décolorés. Les cheveux ne sont pas seulement hydratés; la couleur est rehaussée avec un aspect cristal radieux. ";https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Soins cheveux & cuir chevelu > Nature > Cheveux colorés | Default Category > Soins cheveux & cuir chevelu > Methode > Glam Color | Default Category > Soins cheveux & cuir chevelu > Action > Protection couleur | Default Category > Soins cheveux & cuir chevelu > Besoin > Conditionneur;2026-02-08T01:15:31.038Z;;150 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/pencil-for-eyes?childSku=4040218875898;35,00;Le crayon pour les yeux merveilleusement doux présente une texture soyeuse unique pour une application précise et un regard éveillé et naturellement radieux.  ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-up > Nuances > violet | Default Category > Make-up > Type de maquillage > Crayons pour les yeux | Default Category > Make-up > Categorie > Yeux;2026-02-08T01:15:31.038Z;;1,06 g
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/hair-beard-body-wash?childSku=4040218802597;25,00;3 in 1: Duschgel, Shampoo und Bartshampoo in einem. Dieses betörend duftende All in one-Produkt reinigt sanft und zuverlässig, während es mild Haut und Haar pflegt.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Soins cheveux & cuir chevelu > Nature > Cuir chevelu normal | Default Category > Soins cheveux & cuir chevelu > Nature > Cheveux naturels | Default Category > Soins cheveux & cuir chevelu > Methode > Homme | Default Category > Soins cheveux & cuir chevelu > Action > Réparer / régénérer | Default Category > Soins cheveux & cuir chevelu > Besoin > Shampooing | Default Category > Soins cheveux & cuir chevelu > Accessoires > Format voyage | Default Category > Soins de la peau > Nature > Peau normale | Default Category > Soins de la peau > Besoin > Plus d'hydratation / de protection  | Default Category > Soins de la peau > Categorie > Soins du corps / mains | Default Category > Soins de la peau > Methode > Homme | Default Category > Soins de la peau > Divers > Format voyage;2026-02-08T01:15:31.039Z;Homme;75 ml
003737;Comforting Hydro Toner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/comforting-hydro-toner?childSku=4040218868197;25,00;Ce tonique bienfaisant soulage les symptômes d'une peau sensible irritée, l'hydrate intensément et la prépare de manière optimale aux étapes de soin suivantes.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;Y;Home | Default Category > Soins de la peau > Nature > Peau sensible | Default Category > Soins de la peau > Nature > Peau deshydratée | Default Category > Soins de la peau > Nature > Peau mixte | Default Category > Soins de la peau > Nature > Peau sèche | Default Category > Soins de la peau > Besoin > Plus d'hydratation / de protection  | Default Category > Soins de la peau > Categorie > Démaquillage / lotion visage | Default Category > Soins de la peau > Methode > Méthode Sensitive | Default Category > Soins de la peau > Divers > Format voyage;2026-02-08T01:15:31.039Z;;50 ml
002739;Clarifying Spot Gel;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/clarifying-spot-gel;43,00;Hydrogel clarifiant pour le traitement ciblé et efficace des zones concernées en cas de points noirs et de boutons.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg;Y;Home | Default Category > Soins de la peau > Nature > Peau mixte | Default Category > Soins de la peau > Nature > Peau impure | Default Category > Soins de la peau > Besoin > Eliminer les impuretés  | Default Category > Soins de la peau > Categorie > Soins du visage | Default Category > Soins de la peau > Methode > Méthode Clarifiante;2026-02-08T01:15:31.039Z;;15 ml
021278;Liquid Glam;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/liquid-glam;61,00;Le gel pailleté transparent et polyvalent crée des reflets étincelants sur la peau et met en valeur les yeux, les pommettes, les lèvres ou le décolleté.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;Y;Home | Default Category > Make-up > Nuances > transparent | Default Category > Make-up > Categorie > Teint;2026-02-08T01:15:31.040Z;;4 ml
123212;Colour Protection Structure Restoring Treatment;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/fr/colour-protection-structure-restoring-treatment;84,00;In zwei Phasen repariert und regeneriert die Intensivhaarpflege die innere und äußere Struktur chemisch beanspruchter Haare, stärkt das Haar, bewahrt vor Haarbruch und schützt das Haar vor negativen Umwelteinflüssen sowie frühzeitigem Farbverlust.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg;Y;Home | Default Category > Soins cheveux & cuir chevelu > Action > Protection couleur | Default Category > Soins cheveux & cuir chevelu > Besoin > Traitement | Default Category > Soins cheveux & cuir chevelu > Methode > Colour Protection | Default Category > Soins cheveux & cuir chevelu > Nature > Cheveux colorés;2026-02-08T01:15:31.040Z;;1 set
