guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
017945;Perfect Boost;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/perfect-boost;31,00;La base per mascara Perfect Boost migliora non solo l’effetto del rimmel ma crea anche un effetto volumizzante e allungante sulle ciglia – in pochissimo tempo.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;Y;Home | Default Category > Make-up > Colore > bianco / avorio / champagne | Default Category > Make-up > Tipologia > Arancio / Rame | Default Category > Make-up > Categoria > occhi;2025-09-01T00:56:31.702Z;Donna;8 ml
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/eyeshadow-pen?childSku=4040218791099;26,00;Utilizzabile sia come eyeliner che come ombretto: Eyeshadow Pen dalla consistenza cremosa, facile da stendere e sfumare.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-up > Tipologia > Ombretti | Default Category > Make-up > Categoria > occhi | Default Category > Make-up > Colore > grigio >  silber;2025-09-01T00:56:31.702Z;Donna;1,4 g
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/eyeshadow-pen?childSku=4040218829099;26,00;Utilizzabile sia come eyeliner che come ombretto: Eyeshadow Pen dalla consistenza cremosa, facile da stendere e sfumare.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Make-up > Colore > viola | Default Category > Make-up > Tipologia > Ombretti | Default Category > Make-up > Categoria > occhi | Default Category > Make-up > Colore > grigio >  silber;2025-09-01T00:56:31.702Z;Donna;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/sun-care-body-lotion-spf-50;57,00;Con una combinazione di potenti filtri UV ad alto dosaggio e principi attivi naturali ad azione cellulare, il latte solare resistente all’acqua e senza profumo protegge la pelle dai danni causati dal sole.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > Pelle & corpo > Tipologia di pelle > Pelle esigente | Default Category > Pelle & corpo > Tipologia di pelle > Pelle sensibile | Default Category > Pelle & corpo > Tipologia di pelle > Pelle disidratata | Default Category > Pelle & corpo > Tipologia di pelle > Pelle grassa | Default Category > Pelle & corpo > Tipologia di pelle > Pelle mista | Default Category > Pelle & corpo > Tipologia di pelle > Pelle normale | Default Category > Pelle & corpo > Tipologia di pelle > Pelle secca | Default Category > Pelle & corpo > Tipologia di pelle > Pelle impura | Default Category > Pelle & corpo > Esigenza > Maggior idratazione / protezione | Default Category > Pelle & corpo > Categoria > Protezione solare | Default Category > Pelle & corpo > Methode > Soleil;2025-09-01T00:56:31.703Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/spa-wellness-hair-shampoo?childSku=4040218855999;27,00;Shampoo wellness per capelli;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Capelli > Methode > Spa | Default Category > Capelli > Categoria > Shampoo;2025-09-01T00:56:31.703Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/glam-colour-icy-crystal-07-lv-colouring-conditioner;33,50;Trattamento rapido e rivitalizzante del colore per i capelli biondo-freddo, o decolorati, con complesso protettivo del colore e complesso lucentezza UV. No Yellow Conditioner .07 Crystal tratta e ristruttura le tonalità bionde fredde di capelli naturali, colorati o decolorati, li idrata e ne rivitalizza la luminosa brillantezza cristallina.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Capelli > Tipologia di capelli > Capelli tinti | Default Category > Capelli > Methode > Glam Colour | Default Category > Capelli > Esigenza > Protezione del colore | Default Category > Capelli > Categoria > Conditioner;2025-09-01T00:56:31.703Z;;150 ml
020607;Brilliant Nail Top Coat;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/brilliant-nail-top-coat;21,00;Finish lucido, protettivo, a lunga durata, tutto in un solo prodotto: Brilliant Nail Top Coat si applica come fissatore sopra lo smalto colorato, lo protegge e ne prolunga la durata.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;Y;Home | Default Category > Make-up > Colore > trasparente | Default Category > Make-up > Tipologia > Trattamento unghie | Default Category > Make-up > Categoria > mani / unghie;2025-09-01T00:56:31.704Z;Donna;9 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/pencil-for-eyes?childSku=4040218875898;25,50;La consistenza morbida e unica di questa straordinaria matita delicata permette un’applicazione estremamente precisa. Dona all’occhio un’espressività vivace e naturale.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-up > Colore > viola | Default Category > Make-up > Tipologia > Matite per occhi | Default Category > Make-up > Categoria > occhi;2025-09-01T00:56:31.704Z;;1,06 g
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/hair-beard-body-wash?childSku=4040218802597;11,00;3 in 1: Gel doccia, shampoo e shampoo per barba in un unico prodotto. Questo prodotto tutto in uno dal profumo inebriante deterge delicatamente, prendendosi cura della pelle e dei capelli.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Capelli > Tipologia di capelli > Cuoio capelluto normale | Default Category > Capelli > Tipologia di capelli > Capelli naturali | Default Category > Capelli > Methode > Homme | Default Category > Capelli > Esigenza > Riparare/rigenerare | Default Category > Capelli > Categoria > Shampoo | Default Category > Capelli > Varie > Formati da viaggio | Default Category > Pelle & corpo > Tipologia di pelle > Pelle normale | Default Category > Pelle & corpo > Esigenza > Maggior idratazione / protezione | Default Category > Pelle & corpo > Categoria > Trattamento mani / corpo | Default Category > Pelle & corpo > Methode > Homme | Default Category > Pelle & corpo > Varie > Formati da viaggio;2025-09-01T00:56:31.705Z;Uomo;75 ml
003737;Comforting Hydro Toner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ch/it/comforting-hydro-toner?childSku=4040218868197;7,50;Il tonico benefico lenisce i sintomi di una pelle sensibile, irritata. Dona ricca idratazione e prepara la pelle in maniera ottimale ai passaggi successivi del trattamento. Per tutti gli amanti di Visalix Sensitif questo sarà il vostro nuovo prodotto preferito.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;Y;Home | Default Category > Pelle & corpo > Tipologia di pelle > Pelle sensibile | Default Category > Pelle & corpo > Tipologia di pelle > Pelle disidratata | Default Category > Pelle & corpo > Tipologia di pelle > Pelle mista | Default Category > Pelle & corpo > Tipologia di pelle > Pelle secca | Default Category > Pelle & corpo > Esigenza > Maggior idratazione / protezione | Default Category > Pelle & corpo > Categoria > Pulizia viso / lozione viso | Default Category > Pelle & corpo > Methode > Méthode Sensitive | Default Category > Pelle & corpo > Varie > Formati da viaggio;2025-09-01T00:56:31.705Z;;50 ml
