guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/eyeshadow-pen?childSku=4040218791099;179,00;Kan anvendes både som øjenskygge eller Eyeliner: Eyeshadow Pen med sin bløde, cremet tekstur, er nem at påføre og fade ud.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-up > Makeuptyper > Øjenskygge | Default Category > Make-up > Kategori > Øjne | Default Category > Make-up > Farver > grau  >  silber;2026-02-09T01:06:52.970Z;Kvinde;1,4 g
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/eyeshadow-pen?childSku=4040218829099;179,00;Kan anvendes både som øjenskygge eller Eyeliner: Eyeshadow Pen med sin bløde, cremet tekstur, er nem at påføre og fade ud.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Make-up > Farver > violet | Default Category > Make-up > Makeuptyper > Øjenskygge | Default Category > Make-up > Kategori > Øjne | Default Category > Make-up > Farver > grau  >  silber;2026-02-09T01:06:52.970Z;Kvinde;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/sun-care-body-lotion-spf-50;422,00;<p>Mit einer Kombination aus effektiven, hoch dosierten UV-Filtern und zellaktiven natürlichen Wirkstoffen schützt die wasserfeste, parfumfreie Sonnenmilch die Gesichtshaut und den ganzen Körper vor sonnenbedingter Schädigung.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > Hudpleje > Type > Krævende hud | Default Category > Hudpleje > Type > Følsom hud | Default Category > Hudpleje > Type > Fugtmanglende hud | Default Category > Hudpleje > Type > Fedtet hud | Default Category > Hudpleje > Type > Kombineret hud | Default Category > Hudpleje > Type > Normal hud | Default Category > Hudpleje > Type > Tør hud | Default Category > Hudpleje > Type > Uren hud | Default Category > Hudpleje > Behov > Mere fugtighed/ beskyttelse | Default Category > Hudpleje > Kategori > Solpleje | Default Category > Hudpleje > Methode > Soleil;2026-02-09T01:06:52.971Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/spa-wellness-hair-shampoo?childSku=4040218855999;191,00;Wellness-shampoo til daglig hårvask;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Hår- & hovedbundspleje > Methode > Spa | Default Category > Hår- & hovedbundspleje > Kategori > Shampoo;2026-02-09T01:06:52.971Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/glam-colour-icy-crystal-07-lv-colouring-conditioner;226,00;Hurtig pleje og farveopfriskning med farvebeskyttelses- og UV-glans-kompleks til køligt naturblond, farvet blond eller blonderet hår. No Yellow Conditioner .07 Crystal plejer og restrukturerer køligt naturblond, farvet blond eller blonderet hår, tilfører fugtighed og opfrisker den strålende krystalglans.   ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Hår- & hovedbundspleje > Type > Farvet hår | Default Category > Hår- & hovedbundspleje > Methode > Glam Colour | Default Category > Hår- & hovedbundspleje > Behov > Farvebeskyttelse | Default Category > Hår- & hovedbundspleje > Kategori > Conditioner;2026-02-09T01:06:52.971Z;;150 ml
019055;Automatic Pencil for Lips LL32 Rosewood;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/automatic-pencil-for-lips?childSku=4040218888799;190,00;Den vandfaste læbekonturpen fremtryller smukke, veldefinerede læber.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg;Y;Home | Default Category > Make-up > Farver >  nude | Default Category > Make-up > Farver > rosé | Default Category > Make-up > Makeuptyper > Læbekontur | Default Category > Make-up > Kategori > Læber;2026-02-09T01:06:52.972Z;;0,35 g
020607;Brilliant Nail Top Coat;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/brilliant-nail-top-coat;145,00;Blank, beskyttende og langtidsholdbar finish i ét: Brilliant Nail Top Coat påføres som overlak og forlænger de farvede neglelakkers holdbarhed;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;Y;Home | Default Category > Make-up > Farver > transparent | Default Category > Make-up > Makeuptyper > Neglepleje | Default Category > Make-up > Kategori > Hænder / negle;2026-02-09T01:06:52.972Z;Kvinde;9 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/pencil-for-eyes?childSku=4040218875898;168,00;Den blide kajal-eyeliner har en enestående smidig tekstur, der bevirker, at den kan påføres særdeles præcist, og giver øjnene en naturligt vågen udstråling.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-up > Farver > violet | Default Category > Make-up > Makeuptyper > Kajal | Default Category > Make-up > Kategori > Øjne;2026-02-09T01:06:52.972Z;;1,06 g
012938;Scalp Care Set Méthode Clarifiante ;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/scalp-care-set-methode-clarifiante;285,00;<p>Plejerutinen fra Méthode Clarifiante regulerer for kraftig sveddannelse, genskaber hovedbundens sunde balance, forbedrer hårets kvalitet og skaber en vedvarende frisk følelse.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/c/scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg/scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg;Y;Home | Default Category > Hår- & hovedbundspleje > Methode > Méthode Clarifiante | Default Category > Hår- & hovedbundspleje > Diverse > Sæt | Default Category > Hår- & hovedbundspleje > Type > Fugtig hovedbund | Default Category > Hår- & hovedbundspleje > Kategori > Lotion | Default Category > Hår- & hovedbundspleje > Kategori > Shampoo;2026-02-09T01:06:52.973Z;;1 set
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.dk/hair-beard-body-wash?childSku=4040218802597;76,00;3-i-1: Showergel, shampoo og skægshampoo. Dette dejligt duftende all in one-produkt renser blidt og grundigt, samtidig med at det plejer huden og håret.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Hår- & hovedbundspleje > Type > Normal hovedbund | Default Category > Hår- & hovedbundspleje > Type > Naturligt hår | Default Category > Hår- & hovedbundspleje > Methode > Homme | Default Category > Hår- & hovedbundspleje > Behov > Reparation / regenerende | Default Category > Hår- & hovedbundspleje > Kategori > Shampoo | Default Category > Hår- & hovedbundspleje > Diverse > Rejsestørrelser | Default Category > Hudpleje > Type > Normal hud | Default Category > Hudpleje > Behov > Mere fugtighed/ beskyttelse | Default Category > Hudpleje > Kategori > Hånd- / kropspleje | Default Category > Hudpleje > Methode > Homme | Default Category > Hudpleje > Diverse > Rejsestørrelser;2026-02-09T01:06:52.973Z;Mand;75 ml
