guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/eyeshadow-pen?childSku=4040218791099;24,50;Sombra de ojos y Eyeliner en un solo productos. Textura suave y cremosa. De fácil aplicación y difuminación.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-up > Productos > Sombra de ojos | Default Category > Make-up > Categoría > Ojos | Default Category > Make-up > Color > grau  >  silber;2026-02-02T01:03:54.836Z;Mujer;1,4 g
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/eyeshadow-pen?childSku=4040218829099;24,50;Sombra de ojos y Eyeliner en un solo productos. Textura suave y cremosa. De fácil aplicación y difuminación.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Make-up > Color > violeta | Default Category > Make-up > Productos > Sombra de ojos | Default Category > Make-up > Categoría > Ojos | Default Category > Make-up > Color > grau  >  silber;2026-02-02T01:03:54.836Z;Mujer;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/sun-care-body-lotion-spf-50;57,50;<p>Gracias a una combinación de filtros UV efectivos y altamente dosificados y a los activadores celulares naturales, la leche solar resistente al agua y sin perfume protege la piel facial y corporal frente a los daños provocados por la radiación solar.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > Cuidado de la piel > Tipo > Piel exigente | Default Category > Cuidado de la piel > Tipo > Piel sensible | Default Category > Cuidado de la piel > Tipo > Piel deshidratada | Default Category > Cuidado de la piel > Tipo > Piel grasa | Default Category > Cuidado de la piel > Tipo > Piel mixta | Default Category > Cuidado de la piel > Tipo > Piel normal | Default Category > Cuidado de la piel > Tipo > Piel seca | Default Category > Cuidado de la piel > Tipo > Piel con impurezas | Default Category > Cuidado de la piel > Necesidades > Más hidratación / protección | Default Category > Cuidado de la piel > Categoría > Cuidado solar | Default Category > Cuidado de la piel > Methode > Soleil;2026-02-02T01:03:54.837Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/spa-wellness-hair-shampoo?childSku=4040218855999;25,50;Champú para el lavado diario y el bienestar del cabello;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Cabello & cuero cabelludo > Methode > Spa | Default Category > Cabello & cuero cabelludo > Categoría > Champú;2026-02-02T01:03:54.837Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/glam-colour-icy-crystal-07-lv-colouring-conditioner;31,50;Cuidado rápido con complejo protector del color y de brillo, para cabellos fríos rubios decolorados, coloreados y naturales. No Yellow Conditioner .07 Crystal cuida y reestructura el cabello frío rubio decolorado, coloreado y natural, aporta hidratación y refresca la luminosidad cristalina. ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Cabello & cuero cabelludo > Tipo > Cabello coloreado | Default Category > Cabello & cuero cabelludo > Methode > Glam Colour | Default Category > Cabello & cuero cabelludo > Necesidades > Protección del color | Default Category > Cabello & cuero cabelludo > Categoría > Acondicionador;2026-02-02T01:03:54.837Z;;150 ml
019055;Automatic Pencil for Lips LL32 Rosewood;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/automatic-pencil-for-lips?childSku=4040218888799;26,00;Automatic Pencil for Lips proporciona unos labios perfectamente definidos.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg;Y;Home | Default Category > Make-up > Color >  nude | Default Category > Make-up > Color > rosado | Default Category > Make-up > Productos > Perfilador de labios | Default Category > Make-up > Categoría > Labios;2026-02-02T01:03:54.838Z;;0,35 g
020607;Brilliant Nail Top Coat;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/brilliant-nail-top-coat;18,50;Capa final de brillo protectora y duradera: Brilliant Nail Top Coat se aplica sobre el esmalte de uñas de color para prolongar su durabilidad y brillo.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;Y;Home | Default Category > Make-up > Color > transparente | Default Category > Make-up > Productos > Cuidado para las uñas | Default Category > Make-up > Categoría > Manos / uñas;2026-02-02T01:03:54.838Z;Mujer;9 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/pencil-for-eyes?childSku=4040218875898;23,00;Silky Eyes se funde perfectamente con la piel proporcionando acentos únicos.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-up > Color > violeta | Default Category > Make-up > Productos > Lápices de ojos | Default Category > Make-up > Categoría > Ojos;2026-02-02T01:03:54.839Z;;1,06 g
002142;Harmonising Wellness Tea bolsitas;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/harmonising-wellness-tea?childSku=4040218879698;12,00;El té de bienestar proporciona equilibrio entre cuerpo y mente. Todos los ingredientes contenidos en el té proceden de la agricultura ecológica controlada y han sido inspirados en la composición aromática de la línea Spa para el cuidado corporal.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg;Y;Home | Default Category > Cuidado de la piel > Methode > Spa & Wellnesskörperpflege;2026-02-02T01:03:54.839Z;;30 g
012938;Scalp Care Set Méthode Clarifiante ;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.es/scalp-care-set-methode-clarifiante;35,50;<p>La rutina de cuidado de Méthode Clarifiante regula el exceso de sudoración, mantiene el equilibrio saludable del cuero cabelludo y mejora la calidad del cabello - para una sensación duradera de frescura y cuidado.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/c/scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg/scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg;Y;Home | Default Category > Cabello & cuero cabelludo > Methode > Méthode Clarifiante | Default Category > Cabello & cuero cabelludo > Otros > Sets | Default Category > Cabello & cuero cabelludo > Tipo > Cuero cabelludo húmedo | Default Category > Cabello & cuero cabelludo > Categoría > Loción para el cuero cabelludo | Default Category > Cabello & cuero cabelludo > Categoría > Champú;2026-02-02T01:03:54.839Z;;1 set
