guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
017945;Perfect Boost;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/perfect-boost;27,50 EUR;La base de mascara, Perfect Boost, optimise l'application de votre mascara habituel et donne un maximum de volume et de longueur à vos cils, en un minimum de temps.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;Y;Home | Default Category > Make-up > Nuances > blanc / ivoire / champagne | Default Category > Make-up > Type de maquillage > Mascara | Default Category > Make-up > Catégorie > Yeux;2025-07-16T12:49:02.951Z;Femme;8 ml
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/eyeshadow-pen?childSku=4040218791099;23,50 EUR;En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-up > Type de maquillage > Ombre à paupières | Default Category > Make-up > Catégorie > Yeux | Default Category > Make-up > Nuances > gris > argenté;2025-07-16T12:49:02.952Z;Femme;1,4 g
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/eyeshadow-pen?childSku=4040218829099;23,50 EUR;En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Make-up > Nuances > violet | Default Category > Make-up > Type de maquillage > Ombre à paupières | Default Category > Make-up > Catégorie > Yeux | Default Category > Make-up > Nuances > gris > argenté;2025-07-16T12:49:02.952Z;Femme;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/sun-care-body-lotion-spf-50;55,50 EUR;Grâce à sa combinaison hautement dosée de filtres UV efficaces et de principes actifs naturels agissant au niveau cellulaire, ce lait solaire sans parfum, résistant à l’eau, protège la peau des agressions du soleil.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > Corps & Visage > Nature > Peau éxigeante | Default Category > Corps & Visage > Nature > Peau sensible | Default Category > Corps & Visage > Nature > Peau deshydratée | Default Category > Corps & Visage > Nature > Peau grasse | Default Category > Corps & Visage > Nature > Peau mixte | Default Category > Corps & Visage > Nature > Peau normale | Default Category > Corps & Visage > Nature > Peau sèche | Default Category > Corps & Visage > Nature > Peau impure | Default Category > Corps & Visage > Besoin > Plus d'hydratation / de protection  | Default Category > Corps & Visage > Catégorie > Soins solaires | Default Category > Corps & Visage > Methode > Soleil;2025-07-16T12:49:02.953Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/spa-wellness-hair-shampoo?childSku=4040218855999;25,50 EUR;Shampooing bien-être à usage quotidien;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Cheveux > Methode > Spa | Default Category > Cheveux > Besoin > Shampooing;2025-07-16T12:49:02.953Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/glam-colour-icy-crystal-07-lv-colouring-conditioner;30,50 EUR;Soin express et rafraîchissement de la couleur pour cheveux blonds et décolorés aux reflets froids avec les Complexe Protection Couleur et Complexe Brillance UV.No Yellow Conditioner .07 Crystal nourrit et restructure les cheveux naturellement blonds, colorés et décolorés aux reflets froids, leur apporte hydratation et de resplendissants reflets cristal.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Cheveux > Nature > Cheveux colorés | Default Category > Cheveux > Methode > Glam Colour | Default Category > Cheveux > Action > Protection couleur | Default Category > Cheveux > Besoin > Conditionneur;2025-07-16T12:49:02.953Z;;150 ml
019055;Automatic Pencil for Lips LL32 Rosewood;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/automatic-pencil-for-lips?childSku=4040218888799;25,00 EUR;Le crayon contour des lèvres résistant à l'eau définit parfaitement et embellit les lèvres.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_324093_0_35g_4be569d.jpg/automatic_pencil_for_lips_ll32_rosewood_324093_0_35g_4be569d.jpg;Y;Home | Default Category > Make-up > Nuances > beige / nude | Default Category > Make-up > Nuances > rosé | Default Category > Make-up > Type de maquillage > Contour des lèvres | Default Category > Make-up > Catégorie > Lèvres;2025-07-16T12:49:02.954Z;;0,35 g
020607;Brilliant Nail Base & Top Coat;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/brilliant-nail-top-coat;18,00 EUR;"Tout en un : Brilliant Nail Base &amp; Top Coat s’utilise aussi bien en base de vernis qu’en top coat pour protéger parfaitement les ongles et leur apporter une intense brillance.";https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;Y;Home | Default Category > Make-up > Nuances > transparent | Default Category > Make-up > Type de maquillage > Soins des ongles | Default Category > Make-up > Catégorie > Mains / ongles;2025-07-16T12:49:02.954Z;Femme;9 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/pencil-for-eyes?childSku=4040218875898;22,00 EUR;Ce khôl à la texture unique permet une application ultra-précise pour un effet naturel et rayonnant.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-up > Nuances > violet | Default Category > Make-up > Type de maquillage > Crayons pour les yeux | Default Category > Make-up > Catégorie > Yeux;2025-07-16T12:49:02.955Z;;1,06 g
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/hair-beard-body-wash?childSku=4040218802597;11,00 EUR;3 en 1 : gel lavant, shampooing et shampooing pour barbe. Ce produit tout en un au parfum enivrant nettoie et nourrit efficacement et en douceur la peau et les cheveux.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Cheveux > Nature > Cuir chevelu normal | Default Category > Cheveux > Nature > Cheveux naturels | Default Category > Cheveux > Methode > Homme | Default Category > Cheveux > Action > Réparer / régénérer | Default Category > Cheveux > Besoin > Shampooing | Default Category > Cheveux > Accessoires > Format voyage | Default Category > Corps & Visage > Nature > Peau normale | Default Category > Corps & Visage > Besoin > Plus d'hydratation / de protection  | Default Category > Corps & Visage > Catégorie > Soins du corps / mains | Default Category > Corps & Visage > Methode > Homme | Default Category > Corps & Visage > Divers > Format voyage;2025-07-16T12:49:02.955Z;Homme;75 ml
