guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/eyeshadow-pen?childSku=4040218791099;24,00;Utilizzabile sia come eyeliner che come ombretto: Eyeshadow Pen dalla consistenza cremosa, facile da stendere e sfumare.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-up > Tipologia > Ombretti | Default Category > Make-up > Categoria > Occhi | Default Category > Make-up > Colore > grau  >  silber;2026-02-12T09:53:38.773Z;Donna;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/sun-care-body-lotion-spf-50;55,50;<p>Grazie a una combinazione di filtri UV altamente efficaci e ingredienti naturali ad azione cellulare, la lozione solare resistente all’acqua e priva di profumo protegge la pelle del viso e del corpo dai danni causati dal sole.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle esigente | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle sensibile | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle disidratata | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle grassa | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle mista | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle normale | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle secca | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle impura | Default Category > Trattamenti pelle > Esigenza > Maggior idratazione / protezione | Default Category > Trattamenti pelle > Categoria > Protezione solare | Default Category > Trattamenti pelle > Methode > Soleil;2026-02-12T09:53:38.775Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/spa-wellness-hair-shampoo?childSku=4040218855999;23,50;Shampoo wellness per capelli;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Hair & Scalp Care > Methode > Spa | Default Category > Hair & Scalp Care > Categoria > Shampoo;2026-02-12T09:53:38.776Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/glam-colour-icy-crystal-07-lv-colouring-conditioner;31,50;Trattamento rapido e rivitalizzante del colore per i capelli biondo-freddo, o decolorati, con complesso protettivo del colore e complesso lucentezza UV. No Yellow Conditioner .07 Crystal tratta e ristruttura le tonalità bionde fredde di capelli naturali, colorati o decolorati, li idrata e ne rivitalizza la luminosa brillantezza cristallina.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Hair & Scalp Care > Tipologia di capelli > Capelli tinti | Default Category > Hair & Scalp Care > Methode > Glam Colour | Default Category > Hair & Scalp Care > Esigenza > Protezione del colore | Default Category > Hair & Scalp Care > Categoria > Conditioner;2026-02-12T09:53:38.776Z;;150 ml
019055;Automatic Pencil for Lips LL32 Rosewood;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/automatic-pencil-for-lips?childSku=4040218888799;25,00;La matita contorno labbra, resistente all’acqua garantisce labbra meravigliose e ben definite.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg;Y;Home | Default Category > Make-up > Colore > Beige / Neutro | Default Category > Make-up > Colore > Rosé | Default Category > Make-up > Tipologia > Matite contorno labbra | Default Category > Make-up > Categoria > Labbra;2026-02-12T09:53:38.776Z;;0,35 g
020607;Brilliant Nail Top Coat;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/brilliant-nail-top-coat;19,50;Finish lucido, protettivo, a lunga durata, tutto in un solo prodotto: Brilliant Nail Top Coat si applica come fissatore sopra lo smalto colorato, lo protegge e ne prolunga la durata.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;Y;Home | Default Category > Make-up > Colore > Trasparente | Default Category > Make-up > Tipologia > Trattamento unghie | Default Category > Make-up > Categoria > Mani / unghie;2026-02-12T09:53:38.777Z;Donna;9 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/pencil-for-eyes?childSku=4040218875898;22,00;La consistenza morbida e unica di questa straordinaria matita delicata permette un’applicazione estremamente precisa. Dona all’occhio un’espressività vivace e naturale.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-up > Colore > Viola | Default Category > Make-up > Tipologia > Matite per occhi | Default Category > Make-up > Categoria > Occhi;2026-02-12T09:53:38.777Z;;1,06 g
002142;Harmonising Wellness Tea Bustine;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/harmonising-wellness-tea?childSku=4040218879698;11,00;La tisana armonizzante Wellness Tea porta il corpo a raggiungere un rilassato equilibrio, agendo dall'interno. I suoi ingredienti, provenienti da coltivazioni biologiche controllate, si ispirano all’apprezzata fragranza della linea Spa.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg;Y;Home | Default Category > Trattamenti pelle > Methode > Trattamento corpo Spa;2026-02-12T09:53:38.778Z;;30 g
012938;Scalp Care Set Méthode Clarifiante ;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/scalp-care-set-methode-clarifiante;37,50;<p>La routine di trattamenti di Méthode Clarifiante regola l'eccessiva produzione di sudore, ripristina l'equilibrio della cute e migliora la qualità del capello, per una freschezza duratura e capelli visibilmente sani.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/c/scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg/scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg;Y;Home | Default Category > Hair & Scalp Care > Methode > Méthode Clarifiante | Default Category > Hair & Scalp Care > Varie > Sets | Default Category > Hair & Scalp Care > Tipologia di capelli > Cuoio capelluto umido | Default Category > Hair & Scalp Care > Categoria > Lozione per cuoio capelluto | Default Category > Hair & Scalp Care > Categoria > Shampoo;2026-02-12T09:53:38.778Z;;1 set
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.it/hair-beard-body-wash?childSku=4040218802597;9,50;3 in 1: Gel doccia, shampoo e shampoo per barba in un unico prodotto. Questo prodotto tutto in uno dal profumo inebriante deterge delicatamente, prendendosi cura della pelle e dei capelli.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Hair & Scalp Care > Tipologia di capelli > Cuoio capelluto normale | Default Category > Hair & Scalp Care > Tipologia di capelli > Capelli naturali | Default Category > Hair & Scalp Care > Methode > Homme | Default Category > Hair & Scalp Care > Esigenza > Riparare/rigenerare | Default Category > Hair & Scalp Care > Categoria > Shampoo | Default Category > Hair & Scalp Care > Varie > Formati da viaggio | Default Category > Trattamenti pelle > Tipologia di pelle > Pelle normale | Default Category > Trattamenti pelle > Esigenza > Maggior idratazione / protezione | Default Category > Trattamenti pelle > Categoria > Trattamento mani / corpo | Default Category > Trattamenti pelle > Methode > Homme | Default Category > Trattamenti pelle > Varie > Formati da viaggio;2026-02-12T09:53:38.778Z;Uomo;75 ml
