guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
017945;Perfect Boost;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/perfect-boost;27,50;De mascarabasis Perfect Boost optimaliseert niet alleen het mascararesultaat van de wimpers. Het zorgt ook voor extensieve verlenging en maximaal volume – in minimale tijd.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;Y;Home | Default Category > Make-up > Kleur > wit/ivoor/champagne | Default Category > Make-up > Make-up art > mascara | Default Category > Make-up > Categorie > ogen;2025-08-01T00:57:05.439Z;voor haar;8 ml
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/eyeshadow-pen?childSku=4040218791099;25,00;Bruikbaar als oogschaduw of eyeliner: oogschaduwpen met romige, zachte textuur die gemakkelijk aan te brengen is en uit te vagen;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-up > Make-up art > oogschaduw | Default Category > Make-up > Categorie > ogen | Default Category > Make-up > Kleur > grijs >  silber;2025-08-01T00:57:05.439Z;voor haar;1,4 g
016082;Magic Shadow Duo Dusty Rose & Maroon;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/magic-shadow-duo?childSku=4040218797299;23,00;Deze poederoogschaduw laat het oog langaanhoudend en zijdeachtig mat stralen.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg;Y;Home | Default Category > Make-up > Kleur > beige/nude | Default Category > Make-up > Make-up art > oogschaduw | Default Category > Make-up > Categorie > ogen | Default Category > Make-up > Kleur > braun  >  bronze;2025-08-01T00:57:05.439Z;voor haar;3 g
017615;Smart Liner Dark Brown;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/smart-liner?childSku=4040218819199;23,00;Deze vloeibare long lasting eyeliner past zich zonder problemen aan elke wens aan: decent of sensueel – maar altijd langaanhoudend.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/m/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg;Y;Home | Default Category > Make-up > Make-up art > eyeliner | Default Category > Make-up > Categorie > ogen | Default Category > Make-up > Kleur > braun  >  bronze;2025-08-01T00:57:05.440Z;voor haar;1,7 ml
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/eyeshadow-pen?childSku=4040218829099;25,00;Bruikbaar als oogschaduw of eyeliner: oogschaduwpen met romige, zachte textuur die gemakkelijk aan te brengen is en uit te vagen;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Make-up > Kleur > violet | Default Category > Make-up > Make-up art > oogschaduw | Default Category > Make-up > Categorie > ogen | Default Category > Make-up > Kleur > grijs >  silber;2025-08-01T00:57:05.440Z;voor haar;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/sun-care-body-lotion-spf-50;58,00;Met een combinatie van effectieve, hoog gedoseerde UV-filters en celactieve, natuurlijke werkstoffen beschermt de waterbestendige, parfumvrije zonnemelk de huid tegen door de zon veroorzaakte schade.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > Gezichts- en lichaamsverzorging > Type > veeleisende huid | Default Category > Gezichts- en lichaamsverzorging > Type > gevoelige huid | Default Category > Gezichts- en lichaamsverzorging > Type > gedehydrateerde huid | Default Category > Gezichts- en lichaamsverzorging > Type > vette huid | Default Category > Gezichts- en lichaamsverzorging > Type > gemengde huid | Default Category > Gezichts- en lichaamsverzorging > Type > normale huid | Default Category > Gezichts- en lichaamsverzorging > Type > droge huid | Default Category > Gezichts- en lichaamsverzorging > Type > onzuivere huid | Default Category > Gezichts- en lichaamsverzorging > Behoefte > meer vocht en bescherming | Default Category > Gezichts- en lichaamsverzorging > Categorie > zonneproducten | Default Category > Gezichts- en lichaamsverzorging > Methode > Soleil;2025-08-01T00:57:05.440Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/spa-wellness-hair-shampoo?childSku=4040218855999;26,00;Wellness-shampoo voor dagelijks gebruik;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Haarverzorging > Methode > Spa | Default Category > Haarverzorging > Categorie > shampoo;2025-08-01T00:57:05.441Z;;250 ml
017339;Automatic Pencil for Eyes K05 Black;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/automatic-pencil-for-eyes?childSku=4040218765298;24,00;Het waterbestendige oogpotlood zorgt met zijn onovertrefbare textuur voor kleurintensieve en langaanhoudende ogenblikken.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg;Y;Home | Default Category > Make-up > Kleur > zwart | Default Category > Make-up > Make-up art > eyeliner | Default Category > Make-up > Categorie > ogen;2025-08-01T00:57:05.441Z;voor haar;0,28 g
016555;Magic Shadow 04 Champagne;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/magic-shadow?childSku=4040218769098;22,00;Het oogschaduwpoeder tovert met zijn poederige kleurpigmenten magische accenten op de oogleden.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_04_champagne_120287_2_5g_d039f9f.jpg/magic_shadow_04_champagne_120287_2_5g_d039f9f.jpg;Y;Home | Default Category > Make-up > Kleur > wit/ivoor/champagne | Default Category > Make-up > Make-up art > oogschaduw | Default Category > Make-up > Categorie > ogen;2025-08-01T00:57:05.441Z;voor haar;2,5 g
020607;Brilliant Nail Top Coat;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/brilliant-nail-top-coat;19,00;Glanzende, beschermende en langhoudende finish in één: Brilliant Nail Top Coat wordt aangebracht als top coat en verlengt de houdbaarheid van gekleurde nagellakken.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;Y;Home | Default Category > Make-up > Kleur > transparent | Default Category > Make-up > Make-up art > nagelverzorging | Default Category > Make-up > Categorie > handen/nagels;2025-08-01T00:57:05.442Z;voor haar;9 ml
003794;Visalix Clarifiant;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/visalix-clarifiant;28,50;Hydrolotion Visalix Clarifiant is bijzonder geschikt voor de gevoelige, onzuivere huid: versterkt de huidstructuur, kalmeert en geeft een stralende teint;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg;Y;Home | Default Category > Gezichts- en lichaamsverzorging > Type > vette huid | Default Category > Gezichts- en lichaamsverzorging > Type > gemengde huid | Default Category > Gezichts- en lichaamsverzorging > Type > onzuivere huid | Default Category > Gezichts- en lichaamsverzorging > Behoefte > huidonzuiverheden verminderen | Default Category > Gezichts- en lichaamsverzorging > Categorie > gelaatsreiniging | Default Category > Gezichts- en lichaamsverzorging > Methode > Méthode Clarifiante;2025-08-01T00:57:05.442Z;;100 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/pencil-for-eyes?childSku=4040218875898;23,00;De heerlijk zachte kajal laat zich door zijn unieke soepele textuur uiterst precies aanbrengen en geeft de ogen een natuurlijke uitstralingskracht.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-up > Kleur > violet | Default Category > Make-up > Make-up art > oogpotlood | Default Category > Make-up > Categorie > ogen;2025-08-01T00:57:05.443Z;;1,06 g
002142;Harmonising Wellness Tea Beutel;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/harmonising-wellness-tea?childSku=4040218879698;12,00;De harmoniserende wellness-thee brengt het lichaam van binnenuit in een kalmerend evenwicht. De ingrediënten uit gecontroleerde biologische teelt zijn geïnspireerd op de populaire geursamenstelling van de Spa-lichaamsverzorging.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_393259_30g_856711c.jpg/harmonising_wellness_tea_beutel_393259_30g_856711c.jpg;Y;Home | Default Category > Gezichts- en lichaamsverzorging > Methode > Spa & Wellnesskörperpflege;2025-08-01T00:57:05.443Z;;30 g
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/hair-beard-body-wash?childSku=4040218802597;11,50;3-in-1: douchegel, shampoo en baardshampoo in één. Dit verleidelijk geurende all-in-one product reinigt mild en effectief, en is verzorgend voor huid en haar.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Haarverzorging > Type > normale hoofdhuid | Default Category > Haarverzorging > Type > natuurlijk haar | Default Category > Haarverzorging > Methode > Homme | Default Category > Haarverzorging > Behoefte > repareer/regenereer | Default Category > Haarverzorging > Categorie > shampoo | Default Category > Haarverzorging > Overige > reisverpakking | Default Category > Gezichts- en lichaamsverzorging > Type > normale huid | Default Category > Gezichts- en lichaamsverzorging > Behoefte > meer vocht en bescherming | Default Category > Gezichts- en lichaamsverzorging > Categorie > hand-/lichaamsverzorging | Default Category > Gezichts- en lichaamsverzorging > Methode > Homme | Default Category > Gezichts- en lichaamsverzorging > Overige > reisverpakkingen;2025-08-01T00:57:05.444Z;voor hem;75 ml
003737;Comforting Hydro Toner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/comforting-hydro-toner?childSku=4040218868197;9,00;De weldadige gezichtstonic verlicht de symptomen van een gevoelige, geïrriteerde huid, hydrateert deze rijkelijk en bereidt haar optimaal voor op de volgende verzorgingsstappen.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;Y;Home | Default Category > Gezichts- en lichaamsverzorging > Type > gevoelige huid | Default Category > Gezichts- en lichaamsverzorging > Type > gedehydrateerde huid | Default Category > Gezichts- en lichaamsverzorging > Type > gemengde huid | Default Category > Gezichts- en lichaamsverzorging > Type > droge huid | Default Category > Gezichts- en lichaamsverzorging > Behoefte > meer vocht en bescherming | Default Category > Gezichts- en lichaamsverzorging > Categorie > gelaatsreiniging | Default Category > Gezichts- en lichaamsverzorging > Methode > Méthode Sensitive | Default Category > Gezichts- en lichaamsverzorging > Overige > reisverpakkingen;2025-08-01T00:57:05.444Z;;50 ml
120931;Hairloss Control Scalp Concentrate;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/hairloss-control-scalp-concentrate;169,00;Het hoofdhuidconcentraat revitaliseert de haarwortels en verlengt de levenscyclus van het haar. Haaruitval wordt bestreden met gedifferentieerde werkingsmechanismen, haargroei wordt bevorderd en de kwaliteit en dichtheid van het haar wordt aanzienlijk verbeterd.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;Y;Home | Default Category > Haarverzorging > Methode > Méthode Régénérante | Default Category > Haarverzorging > Behoefte > betere haargroei | Default Category > Haarverzorging > Behoefte > anti-grijs | Default Category > Haarverzorging > Categorie > hoofdhuid ampullen;2025-08-01T00:57:05.444Z;;100 ml
021278;Liquid Glam;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.nl/nl/liquid-glam;36,50;De transparante en veelzijdige glittergel tovert sprankelende highlights op de huid en benadrukt de ogen, jukbeenderen, lippen of het decolleté.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;Y;Home | Default Category > Make-up > Kleur > transparent | Default Category > Make-up > Categorie > teint;2025-08-01T00:57:05.445Z;;4 ml
