guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
017945;Perfect Boost;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/perfect-boost;28,50;Perfect Boost mascara bases not only optimises your mascara application, but also provides intense elongation and maximum volume – in minimal time.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;Y;Home | Default Category > make-up > colour > white / ivory / champagne | Default Category > make-up > make-up categories > mascara | Default Category > make-up > category > eyes;2025-11-24T00:52:31.286Z;woman;8 ml
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218791099;25,50;Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > make-up > make-up categories > eye shadow | Default Category > make-up > category > eyes | Default Category > make-up > colour > grey >  silber;2025-11-24T00:52:31.286Z;woman;1,4 g
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218829099;25,50;Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > make-up > colour > violet | Default Category > make-up > make-up categories > eye shadow | Default Category > make-up > category > eyes | Default Category > make-up > colour > grey >  silber;2025-11-24T00:52:31.286Z;woman;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/sun-care-body-lotion-spf-50;40,00;<p>With a combination of effective, highly dosed UV filters and cell-active natural active ingredients, the waterproof, perfume-free sun milk protects the skin on your face and entire body from sun damage.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > skin & body care > skin type > demanding skin | Default Category > skin & body care > skin type > sensitive skin | Default Category > skin & body care > skin type > dehydrated skin | Default Category > skin & body care > skin type > oily skin | Default Category > skin & body care > skin type > mixed skin | Default Category > skin & body care > skin type > normal skin | Default Category > skin & body care > skin type > dry skin | Default Category > skin & body care > skin type > impure skin | Default Category > skin & body care > customer needs > more moisture /protection | Default Category > skin & body care > category > sun protection | Default Category > skin & body care > Methode > Soleil;2025-11-24T00:52:31.287Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/spa-wellness-hair-shampoo?childSku=4040218855999;24,50;Wellness shampoo for daily hair-washing.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > hair care > Methode > Spa | Default Category > hair care > category > shampoo;2025-11-24T00:52:31.287Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/glam-colour-icy-crystal-07-lv-colouring-conditioner;30,50;Conditions and fortifies cool naturally blonde, colored and bleached hair. The hair is not only moisturized, it is left refreshed with a radiant crystal shimmer.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > hair care > hair type > coloured hair | Default Category > hair care > Methode > Glam Colour | Default Category > hair care > customer needs > colour protection | Default Category > hair care > category > conditioner;2025-11-24T00:52:31.287Z;;150 ml
017339;Automatic Pencil for Eyes K05 Black;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/automatic-pencil-for-eyes?childSku=4040218765298;28,75;The waterproof eyeliner features an unbeatable texture for intense colour and long-lasting eye make-up.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg;Y;Home | Default Category > make-up > colour > black | Default Category > make-up > make-up categories > eye liner | Default Category > make-up > category > eyes;2025-11-24T00:52:31.288Z;woman;0,28 g
020607;Brilliant Nail Top Coat;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/brilliant-nail-top-coat;18,50;Shiny, protective and long-lasting finish in one: Brilliant Nail Top Coat is applied as a top coat and extends the durability of coloured polishes;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;Y;Home | Default Category > make-up > colour > transparent | Default Category > make-up > make-up categories > nail care | Default Category > make-up > category > hands / nails;2025-11-24T00:52:31.288Z;woman;9 ml
003794;Visalix Clarifiant;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/visalix-clarifiant;32,75;Hydro-lotion Visalix Clarifiant is particularly suitable for sensitive, blemished skin: Strengthens the skin structure, calms and revitalises the complexion making it look beautiful and radiant.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg;Y;Home | Default Category > skin & body care > skin type > oily skin | Default Category > skin & body care > skin type > mixed skin | Default Category > skin & body care > skin type > impure skin | Default Category > skin & body care > customer needs > treat skin impurities | Default Category > skin & body care > category > facial cleansing / toning | Default Category > skin & body care > Methode > Méthode Clarifiante;2025-11-24T00:52:31.288Z;;100 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/pencil-for-eyes?childSku=4040218875898;21,50;The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > make-up > colour > violet | Default Category > make-up > make-up categories > pencil for eyes | Default Category > make-up > category > eyes;2025-11-24T00:52:31.289Z;;1,06 g
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.co.uk/hair-beard-body-wash?childSku=4040218802597;10,75;3 in 1: Shower gel, shampoo and beard shampoo in one. This delightfully scented all in one product gently and reliably cleanses whilst conditioning skin and hair.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > hair care > hair type > normal scalp | Default Category > hair care > hair type > natural hair | Default Category > hair care > Methode > Homme | Default Category > hair care > customer needs > repair/regenerate | Default Category > hair care > category > shampoo | Default Category > hair care > other products > travel sizes | Default Category > skin & body care > skin type > normal skin | Default Category > skin & body care > customer needs > more moisture /protection | Default Category > skin & body care > category > hand / body care | Default Category > skin & body care > Methode > Homme | Default Category > skin & body care > other products > travel sizes;2025-11-24T00:52:31.289Z;man;75 ml
