title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz,016399,Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend. Use as an eyeshadow or as a eyeliner.,https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218791099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg,"43,00 CAD",new,in stock,4040218791099,La Biosthétique,"1,4 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac,016301,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218829099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg,"43,00 CAD",new,in stock,4040218829099,La Biosthétique,"1,4 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Spa Wellness Hair Shampoo,120725,Wellness shampoo for daily hair-washing.,https://www.labiosthetique.ca/en/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"40,00 CAD",new,in stock,4040218855999,La Biosthétique,250 ml,Hair & scalp care,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"No Yellow Conditioner .07 Crystal conditions and fortifies cool naturally blonde, colored and bleached hair. The hair is not only moisturized, it is left refreshed with a radiant crystal shimmer.",https://www.labiosthetique.ca/en/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"46,00 CAD",new,in stock,4040218871999,La Biosthétique,150 ml,Hair & scalp care,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Pencil for Eyes Violet Silk,017524,"The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes",https://www.labiosthetique.ca/en/pencil-for-eyes?childSku=4040218875898,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg,"35,00 CAD",new,in stock,4040218875898,La Biosthétique,"1,06 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 g,"1,06 g",FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Shower gel, shampoo and beard shampoo in one. This delightfully scented all in one product gently and reliably cleanses whilst conditioning skin and hair.",https://www.labiosthetique.ca/en/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"25,00 CAD",new,in stock,4040218802597,La Biosthétique,75 ml,"Hair & scalp care,Skin care","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Comforting Hydro Toner,003737,"The soothing toner alleviates the symptoms of sensitive, irritated skin, supplies it with rich moisture and perfectly prepares it for the subsequent care steps.",https://www.labiosthetique.ca/en/comforting-hydro-toner?childSku=4040218868197,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg,"25,00 CAD",new,in stock,4040218868197,La Biosthétique,50 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Clarifying Spot Gel,002739,Clarifying hydrogel for the targeted and effective treatment of areas of skin containing spots and blackheads.,https://www.labiosthetique.ca/en/clarifying-spot-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg,"43,00 CAD",new,in stock,4040218882797,La Biosthétique,15 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
La Biosthétique Liquid Glam,021278,"The transparent and versatile glitter gel conjures up sparkling highlights on the skin and emphasises the eyes, cheekbones, lips or décolleté.",https://www.labiosthetique.ca/en/liquid-glam,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg,"61,00 CAD",new,in stock,4040218876796,La Biosthétique,4 ml,Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 ml,4 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"In two phases, the deep-conditioning hair care repairs and regenerates the internal and external structure of chemically stressed hair, strengthens the hair, prevents hair breakage and protects the hair against negative environmental influences and premature colour loss.",https://www.labiosthetique.ca/en/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"84,00 CAD",new,in stock,4040218849295,La Biosthétique,1 set,Hair & scalp care,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
