title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz,016399,Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend. Use as an eyeshadow or as a eyeliner.,https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218791099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg,"43,00 EUR",new,in stock,4040218791099,La Biosthétique,"1,4 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac,016301,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218829099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg,"43,00 EUR",new,in stock,4040218829099,La Biosthétique,"1,4 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Pencil for Eyes Violet Silk,017524,"The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes",https://www.labiosthetique.ca/en/pencil-for-eyes?childSku=4040218875898,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg,"35,00 EUR",new,in stock,4040218875898,La Biosthétique,"1,06 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 g,"1,06 g",FALSE
La Biosthétique Liquid Glam,021278,"The transparent and versatile glitter gel conjures up sparkling highlights on the skin and emphasises the eyes, cheekbones, lips or décolleté.",https://www.labiosthetique.ca/en/liquid-glam,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg,"61,00 EUR",new,in stock,4040218876796,La Biosthétique,4 ml,make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 ml,4 ml,FALSE
La Biosthétique Magic Shadow 47 Smooth Cappuccino,016756,The powder eyeshadow contains powdery color pigments to magically give the eyelids enchanting accents.,https://www.labiosthetique.ca/en/magic-shadow?childSku=4040218824094,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg,"43,00 EUR",new,in stock,4040218824094,La Biosthétique,"2,5 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
La Biosthétique Brow Definer B01 Dark Brown,017622,"The stylishly slim Brow Definer effortlessly defines precise, natural-looking eyebrows, fills in individual hairs and shades contours. Its ultra-fine tip delivers on-point results with just one twist. With vegan, natural ingredients and caring vitamins.",https://www.labiosthetique.ca/en/brow-definer?childSku=4040218889994,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg/brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg,"34,00 EUR",new,in stock,4040218889994,La Biosthétique,"0,09 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,09 g",FALSE
La Biosthétique Eyeshadow Pen Macadamia,016966,Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend. Use as an eyeshadow or as a eyeliner.,https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218814293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg,"43,00 EUR",new,in stock,4040218814293,La Biosthétique,"1,4 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sensual Lipstick Brilliant B236 Sparkling Sorbet,019462,The lipstick contains high-quality conditioning oils for a film star pout.,https://www.labiosthetique.ca/en/sensual-lipstick-brilliant?childSku=4040218830293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg,"41,00 EUR",new,in stock,4040218830293,La Biosthétique,"3,3 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"3,3 g",FALSE
La Biosthétique Magic Shadow 51 Pale Mauve,016518,The powder eyeshadow contains powdery color pigments to magically give the eyelids enchanting accents.,https://www.labiosthetique.ca/en/magic-shadow?childSku=4040218866193,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg,"43,00 EUR",new,in stock,4040218866193,La Biosthétique,"2,5 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
La Biosthétique Perfect Skin 2/2 Medium Beige,021567,Mit hoher Pigmentdichte und starker Deckkraft gleicht die schmelzende Creme-Foundation Hautunebenheiten mühelos aus und sorgt für lang anhaltende Perfektion.,https://www.labiosthetique.ca/en/perfect-skin?childSku=4040218878493,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_skin_2_2_medium_beige_391647_30ml_c8fcf27.jpg/perfect_skin_2_2_medium_beige_391647_30ml_c8fcf27.jpg,"69,00 EUR",new,in stock,4040218878493,La Biosthétique,30 ml,make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,30 ml,FALSE
