title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Visalix Clarifiant,003794,"La lotion Visalix Clarifiant est particulièrement adaptée aux peaux sensibles à imperfections. Elle renforce la structure de la peau, apaise et revitalise le teint pour le rendre beau et éclatant.",https://www.labiosthetique.ca/fr/visalix-clarifiant,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg,"48,00 EUR",new,in stock,4040218793598,La Biosthétique,100 ml,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Duschgel, Shampoo und Bartshampoo in einem. Dieses betörend duftende All in one-Produkt reinigt sanft und zuverlässig, während es mild Haut und Haar pflegt.",https://www.labiosthetique.ca/fr/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"25,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Cheveux,Corps & Visage","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Comforting Hydro Toner,003737,"Ce tonique bienfaisant soulage les symptômes d'une peau sensible irritée, l'hydrate intensément et la prépare de manière optimale aux étapes de soin suivantes.",https://www.labiosthetique.ca/fr/comforting-hydro-toner?childSku=4040218868197,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg,"25,00 EUR",new,in stock,4040218868197,La Biosthétique,50 ml,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,Das erfrischende Hydro Spray beruhigt und entspannt sonnengestresste Haut sofort und spendet wertvolle Feuchtigkeit.,https://www.labiosthetique.ca/fr/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"42,00 EUR",new,in stock,4040218863895,La Biosthétique,100 ml,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,"Grâce à leur système unique à l’hydrogel, ces patchs rafraîchissants hydratent intensément le contour des yeux, l'apaisent immédiatement et le lissent visiblement.",https://www.labiosthetique.ca/fr/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"130,00 EUR",new,in stock,4040218846393,La Biosthétique,20 pcs,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Spa Relaxing Body Lotion,002192,Lait relaxant pour le corps,https://www.labiosthetique.ca/fr/spa-relaxing-body-lotion?childSku=4040218855890,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg,"48,00 EUR",new,in stock,4040218855890,La Biosthétique,250 ml,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
La Biosthétique Spa Skin Perfecting Lifting Cream,003714,Soin anti-rides pour le cou et le décolleté.,https://www.labiosthetique.ca/fr/spa-skin-perfecting-lifting-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg,"50,00 EUR",new,in stock,4040218856286,La Biosthétique,75 ml,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,75 ml,FALSE
La Biosthétique Dermosthétique Hydrating Cleansing Foam,002485,"Der milde, parfumfreie Reinigungsschaum mit Hyaluronsäure entspannt die Haut durch porentief sanfte Reinigung.",https://www.labiosthetique.ca/fr/dermosthetique-hydrating-cleansing-foam,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_hydrating_cleansing_foam_247953_150ml_99a8b4e.jpg/dermosth_tique_hydrating_cleansing_foam_247953_150ml_99a8b4e.jpg,"65,00 EUR",new,in stock,4040218867985,La Biosthétique,150 ml,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,150 ml,FALSE
La Biosthétique Dermosthétique Hyaluronic Acid Hydrating Capsules,003505,"Dotée d'actifs marins et d’extraits lipidiques ultra-concentrés, chaque capsule offre à la peau un maximum d’hydratation et la stocke, pour une peau immédiatement plus lisse, plus douce et raffermie.",https://www.labiosthetique.ca/fr/dermosthetique-hyaluronic-acid-hydrating-capsules?childSku=4040218846584,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_hyaluronic_acid_hydrating_capsules_266961_7Kapseln_159c1c0.jpg/dermosth_tique_hyaluronic_acid_hydrating_capsules_266961_7Kapseln_159c1c0.jpg,"28,00 EUR",new,in stock,4040218846584,La Biosthétique,7 capsules,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,,7 capsules,FALSE
La Biosthétique Revitalising Balance Cream,004322,"Des mécanismes d'action soigneusement harmonisés freinent les processus de vieillissement de la peau, la renforcent de l'intérieur et la rééquilibrent visiblement.",https://www.labiosthetique.ca/fr/revitalising-balance-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/r/e/revitalising_balance_cream_382741_50ml_936035e.jpg/revitalising_balance_cream_382741_50ml_936035e.jpg,"128,00 EUR",new,in stock,4040218867381,La Biosthétique,50 ml,Corps & Visage,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
