title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Spa Wellness Hair Shampoo,120725,Wellness-Shampoo für die tägliche Haarwäsche,https://www.labiosthetique.ch/de/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"27,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Der pflegende, restrukturierende Farbconditioner mit Farbschutz und UV-Glanz-Komplex neutralisiert den Gelbstich und frischt den eisig kühlen Kristallreflex in blondiertem, coloriertem und naturblondem Haar auf.",https://www.labiosthetique.ch/de/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"33,50 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Duschgel, Shampoo und Bartshampoo in einem. Dieses betörend duftende All in one-Produkt reinigt sanft und zuverlässig, während es mild Haut und Haar pflegt.",https://www.labiosthetique.ch/de/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"11,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Haarpflege,Haut- & Körperpflege","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Hairloss Control Scalp Concentrate,120931,"Das Kopfhautkonzentrat revitalisiert die Haarwurzeln und verlängert den Lebenszyklus der Haare. Haarausfall wird mit differenzierten Wirkmechanismen bekämpft, das Haarwachstum gefördert, die Qualität und Dichte der Haare werden deutlich verbessert. Für alle Liebhaber von Thérapie Anti-Chute Premium wird dies Ihr neues Lieblingsprodukt.",https://www.labiosthetique.ch/de/hairloss-control-scalp-concentrate,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg,"158,00 EUR",new,in stock,4040218871197,La Biosthétique,100 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,100 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"In zwei Phasen repariert und regeneriert die Intensivhaarpflege die innere und äußere Struktur chemisch beanspruchter Haare, stärkt das Haar, bewahrt vor Haarbruch und schützt das Haar vor negativen Umwelteinflüssen sowie frühzeitigem Farbverlust.",https://www.labiosthetique.ch/de/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"81,00 EUR",new,in stock,4040218849295,La Biosthétique,1 set,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"Das milde Strengthening Shampoo reinigt die Haare sanft, vitalisiert feines, dünnes Haar, kräftigt und versiegelt die Haarfaser und schafft spürbar mehr Dichte und Volumen.",https://www.labiosthetique.ch/de/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"29,50 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,"Im Handumdrehen angewandt, spendet das Leave-In Pflegefluid dem Haar Feuchtigkeit, gleicht Strukturunterschiede aus und schützt es vor Haarbruch, Schadstoffpartikeln und anderen schädlichen Umwelteinflüssen.",https://www.labiosthetique.ch/de/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"34,00 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
La Biosthétique Sun Care Styling Lacquer,120253,Der sommerlich duftende Non-Aerosol Haarlack eignet sich speziell für den Outdoor-Bereich. Mit nicht wasserlöslichen UV-Filtern schützt er sonnenstrapaziertes Haar und hält es perfekt in Form.,https://www.labiosthetique.ch/de/sun-care-styling-lacquer,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_styling_lacquer_402607_200ml_5ccb900.jpg/sun_care_styling_lacquer_402607_200ml_5ccb900.jpg,"28,00 EUR",new,in stock,4040218837490,La Biosthétique,200 ml,"Haarpflege,Styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",1 l,200 ml,FALSE
La Biosthétique Long Hair Refreshing Dry Shampoo,120701,"Mit feinstem Reisstärkepuder absorbiert Refresh Dry Shampoo überschüssige Öle. Ansätze und Längen werden auf natürliche Weise aufgefrischt. Das Haar duftet, wirkt locker voluminös und wie frisch gewaschen.",https://www.labiosthetique.ch/de/long-hair-refreshing-dry-shampoo-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_refreshing_dry_shampoo_147647_75ml_ff0a66c.jpg/long_hair_refreshing_dry_shampoo_147647_75ml_ff0a66c.jpg,"18,50 EUR",new,in stock,4040218843989,La Biosthétique,75 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,,75 ml,FALSE
La Biosthétique Frizz Control Smoothing Conditioner,120162,"Smoothing Conditioner stabilisiert den Feuchtigkeitshaushalt unruhiger Haare und versorgt sie mit Nährstoffen. Er gleicht Strukturunterschiede aus und glättet die Haaroberfläche. Das fühlbar beruhigte Haar lässt sich mühelos stylen, bleibt den ganzen Tag in Form, ist geschmeidig und glänzt seidig.",https://www.labiosthetique.ch/de/frizz-control-smoothing-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/r/frizz_control_smoothing_conditioner_247249_150ml_25e3465.jpg/frizz_control_smoothing_conditioner_247249_150ml_25e3465.jpg,"33,50 EUR",new,in stock,4040218838688,La Biosthétique,150 ml,Haarpflege,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
