title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Sun Care Body Lotion SPF 50,002396,"<p>Mit einer Kombination aus effektiven, hoch dosierten UV-Filtern und zellaktiven natürlichen Wirkstoffen schützt die wasserfeste, parfumfreie Sonnenmilch die Gesichtshaut und den ganzen Körper vor sonnenbedingter Schädigung.</p>",https://www.labiosthetique.ch/de/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"57,00 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Harmonising Wellness Tea Beutel,002142,Der harmonisierende Wellness Tee bringt den Körper von innen in wohltuende Balance. Seine Zutaten aus kontrolliert biologischem Anbau sind von der beliebten Duftkomposition der Spa Körperpflege inspiriert.,https://www.labiosthetique.ch/de/harmonising-wellness-tea?childSku=4040218879698,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg,"13,00 EUR",new,in stock,4040218879698,La Biosthétique,30 g,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,30 g,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Duschgel, Shampoo und Bartshampoo in einem. Dieses betörend duftende All in one-Produkt reinigt sanft und zuverlässig, während es mild Haut und Haar pflegt.",https://www.labiosthetique.ch/de/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"11,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Haar- & Kopfhautpflege,Hautpflege","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Comforting Hydro Toner,003737,"Das wohltuende Gesichtswasser lindert die Symptome einer empfindlichen, gereizten Haut, versorgt sie mit reicher Feuchtigkeit und bereitet sie optimal auf die nachfolgenden Pflegeschritte vor. Für alle Liebhaber von Visalix Sensitif wird dies Ihr neues Lieblingsprodukt.",https://www.labiosthetique.ch/de/comforting-hydro-toner?childSku=4040218868197,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg,"7,50 EUR",new,in stock,4040218868197,La Biosthétique,50 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Clarifying Spot Gel,002739,Klärendes Hydrogel zur gezielten und effektiven Behandlung der betroffenen Hautstellen bei Mitessern und Pickeln. Für alle Liebhaber von Likopan Gel wird dies Ihr neues Lieblingsprodukt.,https://www.labiosthetique.ch/de/clarifying-spot-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg,"28,50 EUR",new,in stock,4040218882797,La Biosthétique,15 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
La Biosthétique Sun Care Stick SPF 50+,002628,Cremestick mit UVA und UVB Filter,https://www.labiosthetique.ch/de/sun-care-stick-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg,"27,50 EUR",new,in stock,4040218848595,La Biosthétique,8 g,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,8 g,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,Das erfrischende Hydro Spray beruhigt und entspannt sonnengestresste Haut sofort und spendet wertvolle Feuchtigkeit.,https://www.labiosthetique.ch/de/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"22,00 EUR",new,in stock,4040218863895,La Biosthétique,100 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,"Dank seines einzigartigen Hydrogelsystems wirkt das kühlende Augenpad intensiv befeuchtend, sorgt für eine sofortige Beruhigung und sichtbare Glättung der Augenpartie.",https://www.labiosthetique.ch/de/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"73,00 EUR",new,in stock,4040218846393,La Biosthétique,20 pcs,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Spa Wellness Soap,003912,Sanfte Wellness-Seife zur Reinigung von Gesicht und Körper.,https://www.labiosthetique.ch/de/spa-wellness-soap?childSku=4040218856392,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_soap_329815_150g_f6c2129.jpg/spa_wellness_soap_329815_150g_f6c2129.jpg,"24,50 EUR",new,in stock,4040218856392,La Biosthétique,150 g,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,150 g,FALSE
La Biosthétique Spa Relaxing Body Lotion,002192,Entspannende Körperlotion,https://www.labiosthetique.ch/de/spa-relaxing-body-lotion?childSku=4040218855890,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg,"33,00 EUR",new,in stock,4040218855890,La Biosthétique,250 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
La Biosthétique Spa Skin Perfecting Lifting Cream,003714,Falten reduzierende Pflege für Hals und Dekolleté.,https://www.labiosthetique.ch/de/spa-skin-perfecting-lifting-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg,"43,50 EUR",new,in stock,4040218856286,La Biosthétique,75 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,75 ml,FALSE
La Biosthétique Dermosthétique Hydrating Cleansing Foam,002485,"Der milde, parfumfreie Reinigungsschaum mit Hyaluronsäure entspannt die Haut durch porentief sanfte Reinigung.",https://www.labiosthetique.ch/de/dermosthetique-hydrating-cleansing-foam,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_hydrating_cleansing_foam_247953_150ml_99a8b4e.jpg/dermosth_tique_hydrating_cleansing_foam_247953_150ml_99a8b4e.jpg,"44,00 EUR",new,in stock,4040218867985,La Biosthétique,150 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,150 ml,FALSE
La Biosthétique Dermosthétique Hyaluronic Acid Hydrating Capsules,003505,"Mit Wirkstoffen aus dem Meer und hoch konzentrierten Lipidextrakten spendet jede Kapsel vielschichtige Feuchtigkeit und bewahrt sie in der Haut, die sofort glatter, fester und geschmeidig zart wird.",https://www.labiosthetique.ch/de/dermosthetique-hyaluronic-acid-hydrating-capsules?childSku=4040218846584,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_hyaluronic_acid_hydrating_capsules_266961_7Kapseln_159c1c0.jpg/dermosth_tique_hyaluronic_acid_hydrating_capsules_266961_7Kapseln_159c1c0.jpg,"17,50 EUR",new,in stock,4040218846584,La Biosthétique,7 capsules,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,,7 capsules,FALSE
La Biosthétique Spa Refreshing Body Peeling,002062,Erfrischendes Peeling für den Körper,https://www.labiosthetique.ch/de/spa-refreshing-body-peeling?childSku=4040218856484,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_refreshing_body_peeling_329641_250ml_3d76ddb.jpg/spa_refreshing_body_peeling_329641_250ml_3d76ddb.jpg,"29,50 EUR",new,in stock,4040218856484,La Biosthétique,250 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
La Biosthétique Revitalising Balance Cream,004322,"Sorgfältig aufeinander abgestimmte Wirkmechanismen bremsen die Alterungsprozesse der Haut, stärken sie von innen und bringen sie sichtbar ins Gleichgewicht. Für alle Liebhaber von Ménulphia Jeunesse wird dies Ihr neues Lieblingsprodukt.",https://www.labiosthetique.ch/de/revitalising-balance-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/r/e/revitalising_balance_cream_382741_50ml_936035e.jpg/revitalising_balance_cream_382741_50ml_936035e.jpg,"86,00 EUR",new,in stock,4040218867381,La Biosthétique,50 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Micellar Cleansing Gel,003781,"Das milde Mizellen Reinigungsgel befreit die Haut von Schmutz und überschüssigem Talg und reduziert die Sebumproduktion, ohne die Haut auszutrocknen. Für alle Liebhaber von Clair de Teint Clarifiant wird dies Ihr neues Lieblingsprodukt.",https://www.labiosthetique.ch/de/micellar-cleansing-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/i/micellar_cleansing_gel_396291_250ml_5990094.jpg/micellar_cleansing_gel_396291_250ml_5990094.jpg,"30,00 EUR",new,in stock,4040218882681,La Biosthétique,250 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
La Biosthétique Soothing After-Sun Body Lotion,002368,Die erfrischende Körperlotion beruhigt und entspannt sonnengestresste Haut und unterstützt ihre natürlichen Regenerations- und Abwehrmechanismen zwischen den Sonnenbädern.,https://www.labiosthetique.ch/de/soothing-after-sun-body-lotion,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/o/soothing_after_sun_body_lotion_248077_200ml_1103c83.jpg/soothing_after_sun_body_lotion_248077_200ml_1103c83.jpg,"36,00 EUR",new,in stock,4040218837278,La Biosthétique,200 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Self Tanning Drops,002179,"Die spielend leicht dosierbaren Selbstbräunertropfen verleihen Gesicht, Hals und Dekolleté eine natürliche, individuelle und vollkommen unschädliche Bräune nach Wunsch.",https://www.labiosthetique.ch/de/self-tanning-drops,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/self_tanning_drops_248073_30ml_388d592.jpg/self_tanning_drops_248073_30ml_388d592.jpg,"31,00 EUR",new,in stock,4040218836677,La Biosthétique,30 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,30 ml,FALSE
La Biosthétique After Sun Hair & Body Shampoo,120512,"Das sanfte Shampoo reinigt Haare und Körper nach der Sonne, entfernt Meer- und Chlorwasserrückstände und schützt das Haar, damit es länger seine Farbbrillanz bewahrt.",https://www.labiosthetique.ch/de/after-sun-hair-body-shampoo-2?childSku=4040218837476,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_hair_body_shampoo_247389_100ml_9edb6d7.jpg/after_sun_hair_body_shampoo_247389_100ml_9edb6d7.jpg,"16,00 EUR",new,in stock,4040218837476,La Biosthétique,100 ml,"Haar- & Kopfhautpflege,Hautpflege","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,100 ml,FALSE
La Biosthétique Harmonising Wellness Tea,002012,Der harmonisierende Wellness Tee bringt den Körper von innen in wohltuende Balance. Seine Zutaten aus kontrolliert biologischem Anbau sind von der beliebten Duftkomposition der Spa Körperpflege inspiriert.,https://www.labiosthetique.ch/de/harmonising-wellness-tea?childSku=4040218879674,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_393253_100g_109a594.jpg/harmonising_wellness_tea_393253_100g_109a594.jpg,"19,00 EUR",new,in stock,4040218879674,La Biosthétique,100 g,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,100 g,FALSE
La Biosthétique Clarifying Balance Cream,002356,"Clarifying Balance Cream geht auf die Bedürfnisse von Mischhaut ein, indem sie sowohl talgregulierend als auch befeuchtend wirkt, die Regeneration bei Zellschäden fördert und das Mikrobiom der Haut ausgleicht. Für alle Liebhaber von Purete Clarifiante wird dies Ihr neues Lieblingsprodukt.",https://www.labiosthetique.ch/de/clarifying-balance-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_balance_cream_396276_50ml_759ee9a.jpg/clarifying_balance_cream_396276_50ml_759ee9a.jpg,"50,00 EUR",new,in stock,4040218882773,La Biosthétique,50 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Comforting Hydro Cream,003601,Die präbiotische Hydro-Creme bringt das Mikrobiom der Haut in Balance und erhöht die Hautfeuchtigkeit. Darüber hinaus beruhigt sie empfindliche Haut und stärkt ihre natürlichen Schutzfunktionen. Für alle Liebhaber von Douceur Sensitive Hydratante wird dies Ihr neues Lieblingsprodukt.,https://www.labiosthetique.ch/de/comforting-hydro-cream?childSku=4040218868272,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_cream_391988_50ml_497ee27.jpg/comforting_hydro_cream_391988_50ml_497ee27.jpg,"50,00 EUR",new,in stock,4040218868272,La Biosthétique,50 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Dermosthétique Lifting Eye Cream,002961,Mit viel Feuchtigkeit und starken Antioxidanzien auf pflanzlicher Basis wirkt die straffende Augenpflegecreme Müdigkeits- und Alterungserscheinungen der Haut in der Augenpartie entgegen.,https://www.labiosthetique.ch/de/dermosthetique-age-lifting-eye-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_lifting_eye_cream_355961_15ml_98d4d57.jpg/dermosth_tique_lifting_eye_cream_355961_15ml_98d4d57.jpg,"75,00 EUR",new,in stock,4040218863871,La Biosthétique,15 ml,Hautpflege,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
