title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz,016399,"En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.",https://www.labiosthetique.ch/fr/eyeshadow-pen?childSku=4040218791099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg,"26,00 EUR",new,in stock,4040218791099,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac,016301,"En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.",https://www.labiosthetique.ch/fr/eyeshadow-pen?childSku=4040218829099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg,"26,00 EUR",new,in stock,4040218829099,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sun Care Body Lotion SPF 50,002396,"<p>Grâce à sa combinaison hautement dosée de filtres UV efficaces et de principes actifs naturels agissant au niveau cellulaire, ce lait solaire sans parfum, résistant à l’eau, protège corps et visage des agressions du soleil.</p>",https://www.labiosthetique.ch/fr/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"57,00 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Soins de la peau,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Spa Wellness Hair Shampoo,120725,Shampooing bien-être à usage quotidien,https://www.labiosthetique.ch/fr/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"27,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Soins cheveux & cuir chevelu,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Soin express et rafraîchissement de la couleur pour cheveux blonds et décolorés aux reflets froids avec les Complexe Protection Couleur et Complexe Brillance UV.No Yellow Conditioner .07 Crystal nourrit et restructure les cheveux naturellement blonds, colorés et décolorés aux reflets froids, leur apporte hydratation et de resplendissants reflets cristal.",https://www.labiosthetique.ch/fr/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"33,50 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,Soins cheveux & cuir chevelu,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Automatic Pencil for Lips LL32 Rosewood,019055,Le crayon contour des lèvres résistant à l'eau définit parfaitement et embellit les lèvres.,https://www.labiosthetique.ch/fr/automatic-pencil-for-lips?childSku=4040218888799,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg,"28,00 EUR",new,in stock,4040218888799,La Biosthétique,"0,35 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,35 g",FALSE
La Biosthétique Brilliant Nail Base & Top Coat,020607,Tout en un : Brilliant Nail Base &amp; Top Coat s’utilise aussi bien en base de vernis qu’en top coat pour protéger parfaitement les ongles et leur apporter une intense brillance.,https://www.labiosthetique.ch/fr/brilliant-nail-top-coat,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg,"21,00 EUR",new,in stock,4040218789898,La Biosthétique,9 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,9 ml,FALSE
La Biosthétique Pencil for Eyes Violet Silk,017524,Ce khôl à la texture unique permet une application ultra-précise pour un effet naturel et rayonnant.,https://www.labiosthetique.ch/fr/pencil-for-eyes?childSku=4040218875898,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg,"25,50 EUR",new,in stock,4040218875898,La Biosthétique,"1,06 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 g,"1,06 g",FALSE
La Biosthétique Harmonising Wellness Tea Sachets,002142,La tisane harmonisante apporte au corps un équilibre bienfaisant de l'intérieur. Ses ingrédients issus de l'agriculture biologique contrôlée s'inspirent de la composition parfumée très appréciée des soins corporels Spa.,https://www.labiosthetique.ch/fr/harmonising-wellness-tea?childSku=4040218879698,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg,"13,00 EUR",new,in stock,4040218879698,La Biosthétique,30 g,Soins de la peau,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,30 g,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 en 1 : gel lavant, shampooing et shampooing pour barbe. Ce produit tout en un au parfum enivrant nettoie et nourrit efficacement et en douceur la peau et les cheveux.",https://www.labiosthetique.ch/fr/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"11,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Soins cheveux & cuir chevelu,Soins de la peau","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
