title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz,016399,"Kan anvendes både som øjenskygge eller Eyeliner: Eyeshadow Pen med sin bløde, cremet tekstur, er nem at påføre og fade ud.",https://www.labiosthetique.dk/eyeshadow-pen?childSku=4040218791099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg,"177,00 EUR",new,in stock,4040218791099,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac,016301,"Kan anvendes både som øjenskygge eller Eyeliner: Eyeshadow Pen med sin bløde, cremet tekstur, er nem at påføre og fade ud.",https://www.labiosthetique.dk/eyeshadow-pen?childSku=4040218829099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg,"177,00 EUR",new,in stock,4040218829099,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sun Care Body Lotion SPF 50,002396,"<p>Mit einer Kombination aus effektiven, hoch dosierten UV-Filtern und zellaktiven natürlichen Wirkstoffen schützt die wasserfeste, parfumfreie Sonnenmilch die Gesichtshaut und den ganzen Körper vor sonnenbedingter Schädigung.</p>",https://www.labiosthetique.dk/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"414,00 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Spa Wellness Hair Shampoo,120725,Wellness-shampoo til daglig hårvask,https://www.labiosthetique.dk/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"187,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Hurtig pleje og farveopfriskning med farvebeskyttelses- og UV-glans-kompleks til køligt naturblond, farvet blond eller blonderet hår. No Yellow Conditioner .07 Crystal plejer og restrukturerer køligt naturblond, farvet blond eller blonderet hår, tilfører fugtighed og opfrisker den strålende krystalglans.",https://www.labiosthetique.dk/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"226,00 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Automatic Pencil for Lips LL32 Rosewood,019055,"Den vandfaste læbekonturpen fremtryller smukke, veldefinerede læber.",https://www.labiosthetique.dk/automatic-pencil-for-lips?childSku=4040218888799,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg,"189,00 EUR",new,in stock,4040218888799,La Biosthétique,"0,35 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,35 g",FALSE
La Biosthétique Brilliant Nail Top Coat,020607,"Blank, beskyttende og langtidsholdbar finish i ét: Brilliant Nail Top Coat påføres som overlak og forlænger de farvede neglelakkers holdbarhed",https://www.labiosthetique.dk/brilliant-nail-top-coat,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg,"142,00 EUR",new,in stock,4040218789898,La Biosthétique,9 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,9 ml,FALSE
La Biosthétique Pencil for Eyes Violet Silk,017524,"Den blide kajal-eyeliner har en enestående smidig tekstur, der bevirker, at den kan påføres særdeles præcist, og giver øjnene en naturligt vågen udstråling.",https://www.labiosthetique.dk/pencil-for-eyes?childSku=4040218875898,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg,"165,00 EUR",new,in stock,4040218875898,La Biosthétique,"1,06 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 g,"1,06 g",FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3-i-1: Showergel, shampoo og skægshampoo. Dette dejligt duftende all in one-produkt renser blidt og grundigt, samtidig med at det plejer huden og håret.",https://www.labiosthetique.dk/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"76,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Hårpleje,Hud- & kropspleje","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Comforting Hydro Toner,003737,"Den velgørende tonic lindrer symptomerne på ømfindtlig, irriteret hud, tilfører store mængder fugtighed og forbereder huden optimalt på den efterfølgende pleje. Til alle, der er glade for Visalix Sensitif bliver dette jeres nye favoritprodukt.",https://www.labiosthetique.dk/comforting-hydro-toner?childSku=4040218868197,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg,"50,00 EUR",new,in stock,4040218868197,La Biosthétique,50 ml,Hud- & kropspleje,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
