title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Spa Wellness Hair Shampoo,120725,Wellness-shampoo til daglig hårvask,https://www.labiosthetique.dk/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"187,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Hurtig pleje og farveopfriskning med farvebeskyttelses- og UV-glans-kompleks til køligt naturblond, farvet blond eller blonderet hår. No Yellow Conditioner .07 Crystal plejer og restrukturerer køligt naturblond, farvet blond eller blonderet hår, tilfører fugtighed og opfrisker den strålende krystalglans.",https://www.labiosthetique.dk/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"226,00 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Hairloss Control Scalp Concentrate,120931,"Hovedbundskoncentratet revitaliserer hårrødderne, forlænger det enkelte hårs livscyklus, bekæmper hårtab, stimulerer hårets vækst og forbedrer hårets kvalitet og tæthed. Til alle, der er glade for Thérapie Anti-Chute Premium bliver dette jeres nye favoritprodukt.",https://www.labiosthetique.dk/hairloss-control-scalp-concentrate,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg,"1.201,00 EUR",new,in stock,4040218871197,La Biosthétique,100 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,100 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"Den 2-fasede intensive hårpleje reparerer og regenererer kemisk skadet hårs indre og ydre struktur, styrker håret, modvirker hårbrud og beskytter håret mod negative miljøpåvirkninger og for tidligt farvetab.",https://www.labiosthetique.dk/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"529,00 EUR",new,in stock,4040218849295,La Biosthétique,1 set,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique Fortifying Shampoo,120613,"Den milde shampoo styrker hårrødderne, tilfører ny styrke til svækket hår, som har tendens til at knække, og forbereder hovedbunden på den efterfølgende pleje mod hårtab og forstyrrelser i hårets vækst. Til alle, der er glade for Shampooing Bio-Fanelan bliver dette jeres nye favoritprodukt.",https://www.labiosthetique.dk/fortifying-shampoo,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg,"244,00 EUR",new,in stock,4040218871395,La Biosthétique,250 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"Den milde Strengthening Shampoo renser håret blidt, vitaliserer fint, tyndt hår, styrker og forsegler hårfibrene og skaber mærkbart mere tæthed og volumen.",https://www.labiosthetique.dk/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"211,00 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Styling Brush,048796,"Denne hårbørste styler, friserer og sørger for mere volumen: En træbørste med vildsvine- og nylonbørster, der giver mere glans, tørrer hurtigere og giver mere fylde",https://www.labiosthetique.dk/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"389,00 EUR",new,in stock,4040218781892,La Biosthétique,1 pcs,"Hårpleje,Styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,"Leave in-plejefluid, som tilfører fugtighed og udligner hårets strukturforskelle samt beskytter mod hårbrud og skadelige miljøpåvirkninger.",https://www.labiosthetique.dk/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"236,00 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
La Biosthétique Frizz Control Smoothing Conditioner,120162,"Smoothing Conditioner beroliger, plejer og udjævner hårets skællag, så håret igen bliver glat, smidigt og får glans",https://www.labiosthetique.dk/frizz-control-smoothing-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/r/frizz_control_smoothing_conditioner_247249_150ml_25e3465.jpg/frizz_control_smoothing_conditioner_247249_150ml_25e3465.jpg,"210,00 EUR",new,in stock,4040218838688,La Biosthétique,150 ml,Hårpleje,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Homme Texture Pomade,110282,"Vandbaseret og ukompliceret: Den moderne version af pomaden skaber modellerbare styles, med en naturlig definition, opbyggende hold og en silkemat finish.",https://www.labiosthetique.dk/homme-texture-pomade,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_texture_pomade_247267_75ml_3c6bc2b.jpg/homme_texture_pomade_247267_75ml_3c6bc2b.jpg,"220,00 EUR",new,in stock,4040218843088,La Biosthétique,75 ml,Styling,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,1 l,75 ml,FALSE
