title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Spa Wellness Hair Shampoo,120725,Champú para el lavado diario y el bienestar del cabello,https://www.labiosthetique.es/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"25,50 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Cabello & cuero cabelludo,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Cuidado rápido con complejo protector del color y de brillo, para cabellos fríos rubios decolorados, coloreados y naturales. No Yellow Conditioner .07 Crystal cuida y reestructura el cabello frío rubio decolorado, coloreado y natural, aporta hidratación y refresca la luminosidad cristalina. ",https://www.labiosthetique.es/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"31,50 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,Cabello & cuero cabelludo,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Scalp Care Set Méthode Clarifiante ,012938,"<p>La rutina de cuidado de Méthode Clarifiante regula el exceso de sudoración, mantiene el equilibrio saludable del cuero cabelludo y mejora la calidad del cabello - para una sensación duradera de frescura y cuidado.</p>",https://www.labiosthetique.es/scalp-care-set-methode-clarifiante,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/c/scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg/scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg,"35,50 EUR",new,in stock,4040218892598,La Biosthétique,1 set,Cabello & cuero cabelludo,Health & Beauty > Personal Care > Hair Care,,1 set,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 en 1: gel de ducha, champú y limpieza para la barba. Este extraordinario producto “All in one” limpia, cuida y protege la piel y el cabello.",https://www.labiosthetique.es/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"10,50 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Cabello & cuero cabelludo,Cuidado de la piel","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Hairloss Control Scalp Concentrate,120931,"El concentrado para el cuero cabelludo revitaliza la raíz capilar y prolonga el ciclo de vida del cabello. Combate la caída con diferentes mecanismos de acción, activa el crecimiento del cabello y mejora notablemente la calidad y densidad capilar. Para todos los amantes de Thérapie Anti-Chute Premium éste será su nuevo producto favorito.",https://www.labiosthetique.es/hairloss-control-scalp-concentrate,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg,"165,00 EUR",new,in stock,4040218871197,La Biosthétique,100 ml,Cabello & cuero cabelludo,Health & Beauty > Personal Care > Hair Care,1 l,100 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"Tratamiento capilar intensivo en dos fases para reparar y regenerar la estructura interna y externa del cabello sometido a procesos químicos. Fortalece el cabello, previene la rotura capilar y lo protege frente a las agresiones externas, así como de la pérdida prematura de color.",https://www.labiosthetique.es/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"73,00 EUR",new,in stock,4040218849295,La Biosthétique,1 set,Cabello & cuero cabelludo,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique Fortifying Shampoo,120613,"El champú suave fortalece la raíz capilar, proporciona a cabellos débiles y quebradizos nueva energía y prepara al cuero cabelludo para los productos posteriores que tratan la caída capilar o los problemas de crecimiento. Para todos los amantes de Shampooing Bio-Fanelan éste será su nuevo producto favorito.",https://www.labiosthetique.es/fortifying-shampoo,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg,"32,00 EUR",new,in stock,4040218871395,La Biosthétique,250 ml,Cabello & cuero cabelludo,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"Strengthening Shampoo limpia suavemente el cabello, revitaliza los cabellos finos y débiles, fortalece y sella la fibra capilar. Además, aumenta visiblemente la densidad y el volumen del cabello. ",https://www.labiosthetique.es/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"26,00 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,Cabello & cuero cabelludo,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Styling Brush,048796,"El cepillo proporciona un peinado bonito, natural y con más volumen. Cepillo de madera con cerdas de jabalí y nailon para más brillo, cuerpo y volumen.",https://www.labiosthetique.es/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"51,00 EUR",new,in stock,4040218781892,La Biosthétique,1 pcs,"Cabello & cuero cabelludo,Styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,"El fluido Leave-In de fácil aplicación aporta de inmediato hidratación, iguala las irregularidades estructurales y protege frente a la rotura capilar, las partículas de suciedad y las influencias nocivas del medioambiente. ",https://www.labiosthetique.es/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"33,00 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,Cabello & cuero cabelludo,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
