title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Sun Care Body Lotion SPF 50,002396,"<p>Gracias a una combinación de filtros UV efectivos y altamente dosificados y a los activadores celulares naturales, la leche solar resistente al agua y sin perfume protege la piel facial y corporal frente a los daños provocados por la radiación solar.</p>",https://www.labiosthetique.es/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"57,50 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Harmonising Wellness Tea bolsitas,002142,El té de bienestar proporciona equilibrio entre cuerpo y mente. Todos los ingredientes contenidos en el té proceden de la agricultura ecológica controlada y han sido inspirados en la composición aromática de la línea Spa para el cuidado corporal.,https://www.labiosthetique.es/harmonising-wellness-tea?childSku=4040218879698,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg,"12,00 EUR",new,in stock,4040218879698,La Biosthétique,30 g,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,30 g,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 en 1: gel de ducha, champú y limpieza para la barba. Este extraordinario producto “All in one” limpia, cuida y protege la piel y el cabello.",https://www.labiosthetique.es/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"10,50 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Cabello & cuero cabelludo,Cuidado de la piel","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Comforting Hydro Toner,003737,El tónico facial alivia los síntomas de una piel sensible e irritada. Aporta hidratación y prepara a la piel para los productos posteriores. Para todos los amantes de Visalix Sensitif éste será su nuevo producto favorito.,https://www.labiosthetique.es/comforting-hydro-toner?childSku=4040218868197,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg,"6,00 EUR",new,in stock,4040218868197,La Biosthétique,50 ml,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Clarifying Spot Gel,002739,Hidrogel dermoaclarante para tratar de forma específica y eficaz las zonas de la piel más afectadas por las impurezas. Para todos los amantes de Likopan Gel éste será su nuevo producto favorito.,https://www.labiosthetique.es/clarifying-spot-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg,"26,00 EUR",new,in stock,4040218882797,La Biosthétique,15 ml,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
La Biosthétique Sun Care Stick SPF 50+,002628,La crema solar con FPS 50+ se aplica fácilmente y protege la piel sensible del rostro y del cuerpo frente a las quemaduras solares y los daños provocados por la radiación UV en las capas más profundas de la piel.,https://www.labiosthetique.es/sun-care-stick-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg,"25,50 EUR",new,in stock,4040218848595,La Biosthétique,8 g,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,8 g,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,"Calma y relaja de forma inmediata la piel castigada por el sol, aportando una intensa hidratación.",https://www.labiosthetique.es/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"20,50 EUR",new,in stock,4040218863895,La Biosthétique,100 ml,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Jabonera,053518,Un accesorio muy bonito para el baño. Jabonera muy elegante y sencilla. Perfecta para colocar el jabón aromático de la línea SPA.,https://www.labiosthetique.es/seifenschale,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/seifenschale_280291_1St_ck_af203e0.jpg/seifenschale_280291_1St_ck_af203e0.jpg,"12,00 EUR",new,in stock,4040218806694,La Biosthétique,1 pcs,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,,1 pcs,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,"Gracias a su exclusivo sistema de hidrogel, los paches refrescantes hidratan intensamente el contorno de los ojos, calmándolo de forma inmediata y reafirmándolo visiblemente.",https://www.labiosthetique.es/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"68,50 EUR",new,in stock,4040218846393,La Biosthétique,20 pcs,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Spa Wellness Soap,003912,Jabón suave para cuerpo y rostro,https://www.labiosthetique.es/spa-wellness-soap?childSku=4040218856392,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_soap_329815_150g_f6c2129.jpg/spa_wellness_soap_329815_150g_f6c2129.jpg,"24,00 EUR",new,in stock,4040218856392,La Biosthétique,150 g,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,150 g,FALSE
La Biosthétique Spa Relaxing Body Lotion,002192,Loción corporal relajante,https://www.labiosthetique.es/spa-relaxing-body-lotion?childSku=4040218855890,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg,"30,00 EUR",new,in stock,4040218855890,La Biosthétique,250 ml,Cuidado de la piel,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
