title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Perfect Boost,017945,"La base de mascara, Perfect Boost, optimise l'application de votre mascara habituel et donne un maximum de volume et de longueur à vos cils, en un minimum de temps.",https://www.labiosthetique.nl/fr/perfect-boost,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg,"27,50 EUR",new,in stock,4040218772999,La Biosthétique,8 ml,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,8 ml,FALSE
La Biosthétique Eyeshadow Pen Smoky Topaz,016399,"En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.",https://www.labiosthetique.nl/fr/eyeshadow-pen?childSku=4040218791099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg,"26,00 EUR",new,in stock,4040218791099,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Magic Shadow Duo Dusty Rose & Maroon,016082,Cette ombre à paupières en poudre apporte à l'œil un éclat satiné pour longtemps.,https://www.labiosthetique.nl/fr/magic-shadow-duo?childSku=4040218797299,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg,"23,00 EUR",new,in stock,4040218797299,La Biosthétique,3 g,Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,3 g,FALSE
La Biosthétique Smart Liner Dark Brown,017615,"Cet eye-liner liquide longue tenue répond sans problème à toutes les attentes : pour des maquillages discrets ou flamboyants, mais toujours pour longtemps.",https://www.labiosthetique.nl/fr/smart-liner?childSku=4040218819199,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/m/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg,"23,00 EUR",new,in stock,4040218819199,La Biosthétique,"1,7 ml",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,7 ml",FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac,016301,"En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.",https://www.labiosthetique.nl/fr/eyeshadow-pen?childSku=4040218829099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg,"26,00 EUR",new,in stock,4040218829099,La Biosthétique,"1,4 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sun Care Body Lotion SPF 50,002396,"<p>Grâce à sa combinaison hautement dosée de filtres UV efficaces et de principes actifs naturels agissant au niveau cellulaire, ce lait solaire sans parfum, résistant à l’eau, protège corps et visage des agressions du soleil.</p>",https://www.labiosthetique.nl/fr/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"59,00 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Soins de la peau,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Spa Wellness Hair Shampoo,120725,Shampooing bien-être à usage quotidien,https://www.labiosthetique.nl/fr/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"27,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Soins cheveux & cuir chevelu,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Automatic Pencil for Lips LL32 Rosewood,019055,Le crayon contour des lèvres résistant à l'eau définit parfaitement et embellit les lèvres.,https://www.labiosthetique.nl/fr/automatic-pencil-for-lips?childSku=4040218888799,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg,"27,50 EUR",new,in stock,4040218888799,La Biosthétique,"0,35 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,35 g",FALSE
La Biosthétique Automatic Pencil for Eyes K05 Black,017339,Ce crayon à paupières résistant à l'eau et à la texture unique offre un regard intense et  longue durée.,https://www.labiosthetique.nl/fr/automatic-pencil-for-eyes?childSku=4040218765298,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg,"24,00 EUR",new,in stock,4040218765298,La Biosthétique,"0,28 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,28 g",FALSE
La Biosthétique Magic Shadow 04 Champagne,016555,Cette ombre à paupières en poudre pare les paupières de reflets magiques grâce à ses pigments colorés en poudre.,https://www.labiosthetique.nl/fr/magic-shadow?childSku=4040218769098,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_04_champagne_120287_2_5g_d039f9f.jpg/magic_shadow_04_champagne_120287_2_5g_d039f9f.jpg,"22,00 EUR",new,in stock,4040218769098,La Biosthétique,"2,5 g",Make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
