title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Spa Wellness Hair Shampoo,120725,Shampooing bien-être à usage quotidien,https://www.labiosthetique.nl/fr/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"26,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Cheveux,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 en 1 : gel lavant, shampooing et shampooing pour barbe. Ce produit tout en un au parfum enivrant nettoie et nourrit efficacement et en douceur la peau et les cheveux.",https://www.labiosthetique.nl/fr/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"11,50 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Cheveux,Corps & Visage","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Hairloss Control Scalp Concentrate,120931,"Le concentré pour cuir chevelu revitalise les racines des cheveux et prolonge leur cycle de vie. La chute de cheveux est combattue par des mécanismes d'action différenciés, la croissance des cheveux est stimulée, la qualité et la densité des cheveux sont nettement améliorées. Pour tous les adeptes de Thérapie Anti-Chute Premium ce sera votre nouveau produit préféré.",https://www.labiosthetique.nl/fr/hairloss-control-scalp-concentrate,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg,"169,00 EUR",new,in stock,4040218871197,La Biosthétique,100 ml,Cheveux,Health & Beauty > Personal Care > Hair Care,1 l,100 ml,FALSE
La Biosthétique Shampooing Lipokérine A,120295,"Ce shampooing réparateur nettoie et apaise les cuirs chevelus gras avec une extrême douceur, normalise le cuir chevelu et lui redonne son équilibre naturel.",https://www.labiosthetique.nl/fr/shampooing-lipokerine-a,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg,"27,50 EUR",new,in stock,4040218120295,La Biosthétique,250 ml,Cheveux,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Shampooing Hydrotoxa,180255,"Le Shampooing Hydrotoxa est un shampooing actif régulateur contre les excès de transpiration du cuir chevelu qui rendent les cheveux poisseux. Il nettoie et apaise en douceur les cuirs chevelus humides, réduit la transpiration et préserve le volume nature",https://www.labiosthetique.nl/fr/shampooing-hydrotoxa-180255,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg,"27,50 EUR",new,in stock,4040218704495,La Biosthétique,250 ml,Cheveux,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"Grâce à ses deux phases, le soin capillaire intensif répare et régénère la structure interne et externe des cheveux ayant subi des traitements chimiques. Il les fortifie, les préserve de la casse, les protège des agressions et du dégorgement prématuré.",https://www.labiosthetique.nl/fr/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"79,50 EUR",new,in stock,4040218849295,La Biosthétique,1 set,Cheveux,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique Fortifying Shampoo,120613,"Ce shampooing doux renforce les racines des cheveux, redonne de la force aux cheveux affaiblis et cassants et prépare le cuir chevelu aux soins ultérieurs contre la chute et les troubles de la croissance des cheveux. Pour tous les adeptes de Shampooing Bio-Fanelan ce sera votre nouveau produit préféré.",https://www.labiosthetique.nl/fr/fortifying-shampoo,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg,"34,50 EUR",new,in stock,4040218871395,La Biosthétique,250 ml,Cheveux,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"Le shampooing doux Strengthening Shampoo nettoie en douceur le cheveu, revitalise les cheveux fins, fortifie et protège les fibres capillaires et apporte à la chevelure visiblement plus d’épaisseur et de volume.",https://www.labiosthetique.nl/fr/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"27,50 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,Cheveux,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Styling Brush,048796,"Cette brosse pour les cheveux, coiffe et crée plus de volume. Brosse en bois en poils de nylon et de sanglier pour plus de brillance, un séchage rapide et plus de volume.",https://www.labiosthetique.nl/fr/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"89,50 EUR",new,in stock,4040218781892,La Biosthétique,1 pcs,"Cheveux,Styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,"En un tour de main, le fluide nourrissant sans rinçage hydrate les cheveux, équilibre les différences structurelles, empêche les cheveux de devenir cassants, les protège des particules polluantes et d'autres influences environnementales nocives.",https://www.labiosthetique.nl/fr/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"32,50 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,Cheveux,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
