title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Sun Care Body Lotion SPF 50,002396,"Met een combinatie van effectieve, hoog gedoseerde UV-filters en celactieve, natuurlijke werkstoffen beschermt de waterbestendige, parfumvrije zonnemelk de huid tegen door de zon veroorzaakte schade. ",https://www.labiosthetique.nl/nl/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"59,00 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Visalix Clarifiant,003794,"Hydrolotion Visalix Clarifiant is bijzonder geschikt voor de gevoelige, onzuivere huid: versterkt de huidstructuur, kalmeert en geeft een stralende teint",https://www.labiosthetique.nl/nl/visalix-clarifiant,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg,"28,50 EUR",new,in stock,4040218793598,La Biosthétique,100 ml,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Harmonising Wellness Tea Beutel,002142,De harmoniserende wellness-thee brengt het lichaam van binnenuit in een kalmerend evenwicht. De ingrediënten uit gecontroleerde biologische teelt zijn geïnspireerd op de populaire geursamenstelling van de Spa-lichaamsverzorging.,https://www.labiosthetique.nl/nl/harmonising-wellness-tea?childSku=4040218879698,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg,"13,00 EUR",new,in stock,4040218879698,La Biosthétique,30 g,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,30 g,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3-in-1: douchegel, shampoo en baardshampoo in één. Dit verleidelijk geurende all-in-one product reinigt mild en effectief, en is verzorgend voor huid en haar.",https://www.labiosthetique.nl/nl/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"11,50 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Haar- & hoofdhuidverzorging,Huidverzorging","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Comforting Hydro Toner,003737,"De weldadige gezichtstonic verlicht de symptomen van een gevoelige, geïrriteerde huid, hydrateert deze rijkelijk en bereidt haar optimaal voor op de volgende verzorgingsstappen.",https://www.labiosthetique.nl/nl/comforting-hydro-toner?childSku=4040218868197,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg,"9,00 EUR",new,in stock,4040218868197,La Biosthétique,50 ml,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,50 ml,FALSE
La Biosthétique Clarifying Spot Gel,002739,Zuiverende hydrogel voor een gerichte en effectieve behandeling van de aangetaste huidzones met mee-eters en puistjes.,https://www.labiosthetique.nl/nl/clarifying-spot-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg,"29,50 EUR",new,in stock,4040218882797,La Biosthétique,15 ml,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
La Biosthétique Sun Care Stick SPF 50+,002628,De zacht smeltende zonnebrandcrème met SPF 50+ beschermt de gevoelige gezichts- en lichaamshuid uitgebreid tegen zonnebrand en diepere schade door UV-straling. ,https://www.labiosthetique.nl/nl/sun-care-stick-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg,"30,50 EUR",new,in stock,4040218848595,La Biosthétique,8 g,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,8 g,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,De verfrissende Hydro Spray kalmeert en ontspant zonbelaste huid onmiddellijk en geeft waardevolle hydratatie. ,https://www.labiosthetique.nl/nl/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"23,00 EUR",new,in stock,4040218863895,La Biosthétique,100 ml,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,Dankzij het unieke hydrogelsysteem hebben de verkoelende oogpads een intens hydraterend effect en zorgen ze voor direct kalmeren en zichtbaar gladstrijken van de oogcontour.,https://www.labiosthetique.nl/nl/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"79,50 EUR",new,in stock,4040218846393,La Biosthétique,20 pcs,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Spa Wellness Soap,003912,Milde wellness-zeep voor het reinigen van gezicht en lichaam.,https://www.labiosthetique.nl/nl/spa-wellness-soap?childSku=4040218856392,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_soap_329815_150g_f6c2129.jpg/spa_wellness_soap_329815_150g_f6c2129.jpg,"23,00 EUR",new,in stock,4040218856392,La Biosthétique,150 g,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,150 g,FALSE
La Biosthétique Spa Relaxing Body Lotion,002192,Ontspannende bodylotion,https://www.labiosthetique.nl/nl/spa-relaxing-body-lotion?childSku=4040218855890,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg,"31,50 EUR",new,in stock,4040218855890,La Biosthétique,250 ml,Huidverzorging,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
