title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Spa Wellness Hair Shampoo,120725,Szampon Wellness do codziennego mycia włosów.,https://www.labiosthetique.pl/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"120,00 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,Pielęgnacja włosów i głowy,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Zabieg pielęgnacyjny i odświeżający kolor dla rozjaśnionych, farbowanych i naturalnych blond włosów nadający włosom chłodny odcień. Pielęgnacja chroniąca chłodne odcienie i refleksy blondu. Chłodne pigmenty w produktach, wybijają żółty odcień włosów,nadając im chłodne walory. Dodatkowo odżywia włosy,poprawia ich elastyczność i świetlistość.",https://www.labiosthetique.pl/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"140,00 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,Pielęgnacja włosów i głowy,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"Orzeźwiający żel pod prysznic do ciała, włosów i brody. Naturalne składniki aktywne chronią przed wysuszaniem skóry. Koktajl mineralny rewitalizuje każdą komórkę tlenem. Specjalnie opracowany kompleks Hydro-Protect utrzymuje wilgotność skóry i chroni włosy.",https://www.labiosthetique.pl/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"60,00 EUR",new,in stock,4040218802597,La Biosthétique,75 ml,"Pielęgnacja włosów i głowy,pielęgnacja skóry","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"W dwóch fazach intensywna pielęgnacja włosów naprawia i regeneruje wewnętrzną i zewnętrzną strukturę chemicznie uszkodzonych włosów, wzmacnia je, zapobiega łamliwości oraz chroni przed negatywnym wpływem środowiska i przedwczesnym utratą koloru.",https://www.labiosthetique.pl/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"305,00 EUR",new,in stock,4040218849295,La Biosthétique,1 set,Pielęgnacja włosów i głowy,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique Fortifying Shampoo,120613,"Łagodny szampon wzmacnia korzenie włosów, nadaje osłabionym, łamliwym włosom nową siłę i przygotowuje skórę głowy do kolejnej pielęgnacji w celu zwalczania wypadania włosów i zaburzeń wzrostu włosów.",https://www.labiosthetique.pl/fortifying-shampoo,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg,"140,00 EUR",new,in stock,4040218871395,La Biosthétique,250 ml,Pielęgnacja włosów i głowy,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"Strengthening Shampoo to delikatnie oczyszczający szampon, ożywiający cienkie i delikatne włosy. Wzmacnia i uszczelnia włókna włosów. Tworzy zauważalnie większą grubość i objętość włosów.",https://www.labiosthetique.pl/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"135,00 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,Pielęgnacja włosów i głowy,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Styling Brush,048796,"Szczotka do stylizacji włosów wykonana z drewna posiadająca dwa rodzaje włosia, z dzika i nylonowe, dodaje włosom blasku i objętości.",https://www.labiosthetique.pl/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"263,00 EUR",new,in stock,4040218781892,La Biosthétique,1 pcs,"Pielęgnacja włosów i głowy,stylizacja","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,"Błyskawiczny w aplikacji i wtapiający się we włosy fluid bez spłukiwania. Głęboko nawilża i wyrównuje uszkodzenia strukturalne na całej długości. Poprawia elastyczność włosów. Dodatkowo skutecznie chroni przed szkodliwymi czynnikami zewnętrznymi i smogiem. Sprawia, że włosy stają się bardziej sprężyste, jedwabiste i łatwe w rozczesaniu i modelowaniu, a końcówki spójne i chronione przed uszkodzeniem.",https://www.labiosthetique.pl/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"150,00 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,Pielęgnacja włosów i głowy,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
La Biosthétique Sun Care Styling Lacquer,120253,Lakier do włosów z ochroną przeciwsłoneczną,https://www.labiosthetique.pl/sun-care-styling-lacquer,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_styling_lacquer_402607_200ml_5ccb900.jpg/sun_care_styling_lacquer_402607_200ml_5ccb900.jpg,"115,00 EUR",new,in stock,4040218837490,La Biosthétique,200 ml,"Pielęgnacja włosów i głowy,stylizacja","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",1 l,200 ml,FALSE
La Biosthétique Long Hair Refreshing Dry Shampoo,120701,"<p>NOWOŚĆ! Suchy szampon błyskawicznie absorbuje nadmiar sebum u nasady włosów, daje efekt odświeżonych włosów na całej długości, dodając im naturalnej objętości i delikatnego utrwalenia. Luksusowy aromat wzmacnia uczucie świeżości. Szybko, skutecznie, bez użycia wody!</p>",https://www.labiosthetique.pl/long-hair-refreshing-dry-shampoo-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_refreshing_dry_shampoo_147647_75ml_ff0a66c.jpg/long_hair_refreshing_dry_shampoo_147647_75ml_ff0a66c.jpg,"65,00 EUR",new,in stock,4040218843989,La Biosthétique,75 ml,Pielęgnacja włosów i głowy,Health & Beauty > Personal Care > Hair Care,,75 ml,FALSE
La Biosthétique Frizz Control Smoothing Conditioner,120162,"Wygładzająca odżywka dyscyplinuje, nawilża, wygładza nierówności strukturalne na powierzchni włosów. Dzięki temu włosy stają się idealnie wygładzone, ujarzmione, łatwo się rozczesują i zyskują ochronę przed ponownym puszeniem.",https://www.labiosthetique.pl/frizz-control-smoothing-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/r/frizz_control_smoothing_conditioner_247249_150ml_25e3465.jpg/frizz_control_smoothing_conditioner_247249_150ml_25e3465.jpg,"127,00 EUR",new,in stock,4040218838688,La Biosthétique,150 ml,Pielęgnacja włosów i głowy,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Artistic Hair Spray,110344,Super-szybkoschnący lakier do włosów w sprayu gwarantujący największe utrwalenie i umożliwiający tworzenie najbardziej niezwykłych fryzur.,https://www.labiosthetique.pl/artistic-hair-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/r/artistic_hair_spray_398123_250ml_72af289.jpg/artistic_hair_spray_398123_250ml_72af289.jpg,"120,00 EUR",new,in stock,4040218869088,La Biosthétique,250 ml,stylizacja,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,1 l,250 ml,FALSE
