title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Perfect Boost,017945,"Perfect Boost mascara bases not only optimises your mascara application, but also provides intense elongation and maximum volume – in minimal time.",https://www.labiosthetique.co.uk/perfect-boost,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg,"28,50 EUR",new,in stock,4040218772999,La Biosthétique,8 ml,make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,8 ml,FALSE
La Biosthétique Eyeshadow Pen Smoky Topaz,016399,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218791099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg,"25,50 EUR",new,in stock,4040218791099,La Biosthétique,"1,4 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac,016301,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,https://www.labiosthetique.co.uk/eyeshadow-pen?childSku=4040218829099,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg,"25,50 EUR",new,in stock,4040218829099,La Biosthétique,"1,4 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sun Care Body Lotion SPF 50,002396,"With a combination of effective, highly dosed UV filters and cell-active natural active ingredients, the waterproof, perfume-free sun milk protects the skin against sun-induced damage.",https://www.labiosthetique.co.uk/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"40,00 EUR",new,in stock,4040218846799,La Biosthétique,200 ml,skin & body care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Spa Wellness Hair Shampoo,120725,Wellness shampoo for daily hair-washing.,https://www.labiosthetique.co.uk/spa-wellness-hair-shampoo?childSku=4040218855999,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg,"24,50 EUR",new,in stock,4040218855999,La Biosthétique,250 ml,hair care,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,120107,"Conditions and fortifies cool naturally blonde, colored and bleached hair. The hair is not only moisturized, it is left refreshed with a radiant crystal shimmer.",https://www.labiosthetique.co.uk/glam-colour-icy-crystal-07-lv-colouring-conditioner,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg,"30,50 EUR",new,in stock,4040218871999,La Biosthétique,150 ml,hair care,Health & Beauty > Personal Care > Hair Care,1 l,150 ml,FALSE
La Biosthétique Automatic Pencil for Eyes K05 Black,017339,The waterproof eyeliner features an unbeatable texture for intense colour and long-lasting eye make-up.,https://www.labiosthetique.co.uk/automatic-pencil-for-eyes?childSku=4040218765298,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg,"28,75 EUR",new,in stock,4040218765298,La Biosthétique,"0,28 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,28 g",FALSE
La Biosthétique Brilliant Nail Top Coat,020607,"Shiny, protective and long-lasting finish in one: Brilliant Nail Top Coat is applied as a top coat and extends the durability of coloured polishes",https://www.labiosthetique.co.uk/brilliant-nail-top-coat,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg,"18,50 EUR",new,in stock,4040218789898,La Biosthétique,9 ml,make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,,9 ml,FALSE
La Biosthétique Visalix Clarifiant,003794,"Hydro-lotion Visalix Clarifiant is particularly suitable for sensitive, blemished skin: Strengthens the skin structure, calms and revitalises the complexion making it look beautiful and radiant.",https://www.labiosthetique.co.uk/visalix-clarifiant,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg,"32,75 EUR",new,in stock,4040218793598,La Biosthétique,100 ml,skin & body care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Pencil for Eyes Violet Silk,017524,"The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes",https://www.labiosthetique.co.uk/pencil-for-eyes?childSku=4040218875898,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg,"21,50 EUR",new,in stock,4040218875898,La Biosthétique,"1,06 g",make-up,Health & Beauty > Personal Care > Cosmetics > Makeup,1 g,"1,06 g",FALSE
