title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Sun Care Body Lotion SPF 50,002396,"<p>With a combination of effective, highly dosed UV filters and cell-active natural active ingredients, the waterproof, perfume-free sun milk protects the skin on your face and entire body from sun damage.</p>",https://www.labiosthetique.co.uk/sun-care-body-lotion-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg,"40,00 GBP",new,in stock,4040218846799,La Biosthétique,200 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,200 ml,FALSE
La Biosthétique Visalix Clarifiant,003794,"Hydro-lotion Visalix Clarifiant is particularly suitable for sensitive, blemished skin: Strengthens the skin structure, calms and revitalises the complexion making it look beautiful and radiant.",https://www.labiosthetique.co.uk/visalix-clarifiant,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg,"32,75 GBP",new,in stock,4040218793598,La Biosthétique,100 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Homme Hair Beard Body Wash,003939,"3 in 1: Shower gel, shampoo and beard shampoo in one. This delightfully scented all in one product gently and reliably cleanses whilst conditioning skin and hair.",https://www.labiosthetique.co.uk/hair-beard-body-wash?childSku=4040218802597,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg,"10,75 GBP",new,in stock,4040218802597,La Biosthétique,75 ml,"Hair & scalp care,Skin care","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",1 l,75 ml,FALSE
La Biosthétique Clarifying Spot Gel,002739,Clarifying hydrogel for the targeted and effective treatment of areas of skin containing spots and blackheads. For all lovers ofLikopan Gel this will be your new favorite product.,https://www.labiosthetique.co.uk/clarifying-spot-gel,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg,"17,00 GBP",new,in stock,4040218882797,La Biosthétique,15 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,15 ml,FALSE
La Biosthétique Sun Care Stick SPF 50+,002628,The easily absorbed sun cream with SPF 50+ provides sensitive skin on the face and body with comprehensive protection against sunburn and deeper damage caused by UV radiation.,https://www.labiosthetique.co.uk/sun-care-stick-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg,"28,50 GBP",new,in stock,4040218848595,La Biosthétique,8 g,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,8 g,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,The refreshing hydro spray instantly calms and relaxes sun-stressed skin and supplies valuable moisture.,https://www.labiosthetique.co.uk/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"16,00 GBP",new,in stock,4040218863895,La Biosthétique,100 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,"Thanks to its unique hydrogel system, the cooling eye pad has an intensive moisturising effect, instantly calms the eyes and visibly smooths the eye area.",https://www.labiosthetique.co.uk/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"57,75 GBP",new,in stock,4040218846393,La Biosthétique,20 pcs,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Spa Wellness Soap,003912,A gentle wellness soap for cleansing the face and body.,https://www.labiosthetique.co.uk/spa-wellness-soap?childSku=4040218856392,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_soap_329815_150g_f6c2129.jpg/spa_wellness_soap_329815_150g_f6c2129.jpg,"24,75 GBP",new,in stock,4040218856392,La Biosthétique,150 g,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,150 g,FALSE
La Biosthétique Spa Relaxing Body Lotion,002192,Relaxing body lotion,https://www.labiosthetique.co.uk/spa-relaxing-body-lotion?childSku=4040218855890,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg,"29,25 GBP",new,in stock,4040218855890,La Biosthétique,250 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
La Biosthétique Spa Skin Perfecting Lifting Cream,003714,Wrinkle-reducing care for the neck and décolleté.,https://www.labiosthetique.co.uk/spa-skin-perfecting-lifting-cream,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg/spa_skin_perfecting_lifting_cream_329797_75ml_8ab700b.jpg,"34,75 GBP",new,in stock,4040218856286,La Biosthétique,75 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,75 ml,FALSE
La Biosthétique Dermosthétique Hydrating Cleansing Foam,002485,"The mild, perfume-free cleansing foam with hyaluronic acid relaxes the skin with gentle cleansing right down to the pores.",https://www.labiosthetique.co.uk/dermosthetique-hydrating-cleansing-foam,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_hydrating_cleansing_foam_247953_150ml_99a8b4e.jpg/dermosth_tique_hydrating_cleansing_foam_247953_150ml_99a8b4e.jpg,"35,75 GBP",new,in stock,4040218867985,La Biosthétique,150 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,150 ml,FALSE
