title,locale,image_url,url,path,labio_identnummer,description,price,Grundpreis,Füllmenge,category,Anwendung,Inhaltsstoffe,Siliconfree,Vegan
Eyeshadow Pen Smoky Topaz,en,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218791099,/eyeshadow-pen?childSku=4040218791099,016399,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,"23,50 €",,"1,4 g",Make-Up,Apply the Eyeshadow Pen as an eyeshadow to the whole top lid or as an eyeliner along the lashes. The colour is easy to blend with the fingers or a brush.,"ISODODECANE, MICA, SYNTHETIC WAX, ETHYLENE/PROPYLENE COPOLYMER, SILICA, POLYMETHYLSILSESQUIOXANE, POLYBUTENE, HYDROGENATED POLYDICYCLOPENTADIENE, CI 77499 (IRON OXIDES), CI 77000 (ALUMINUM POWDER), CI 77891 (TITANIUM DIOXIDE), SUCROSE TETRASTEARATE TRIACETATE, CI 77491 (IRON OXIDES), COCO-CAPRYLATE/CAPRATE, ORYZA SATIVA (RICE) BRAN WAX, SYNTHETIC BEESWAX, HYDROGENATED CASTOR OIL, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, TIN OXIDE",no,no
Eyeshadow Pen Cloudy Lilac,en,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218829099,/eyeshadow-pen?childSku=4040218829099,016301,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,"23,50 €",,"1,4 g",Make-Up,Apply the Eyeshadow Pen as an eyeshadow to the whole top lid or as an eyeliner along the lashes. The colour is easy to blend with the fingers or a brush.,"DIMETHICONE, MICA, SILICA, ISOAMYL COCOATE, SUCROSE TETRASTEARATE TRIACETATE, CI 77499 (IRON OXIDES), POLYBUTENE, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED JOJOBA OIL, SYNTHETIC WAX, TRIMETHYLSILOXYSILICATE/DIMETHICONOL CROSSPOLYMER, CI 77491 (IRON OXIDES), GLYCERYL CAPRYLATE, SILICA SILYLATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, ETHYLENE/METHACRYLATE COPOLYMER, TIN OXIDE, ISOPROPYL TITANIUM TRIISOSTEARATE",no,yes
Spa Wellness Hair Shampoo,en,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-wellness-hair-shampoo?childSku=4040218855999,/spa-wellness-hair-shampoo?childSku=4040218855999,120725,Wellness shampoo for daily hair-washing.,"25,00 €","100,00 € / 1 l",250 ml,Haar- & Kopfhautpflege,Distribute a hazelnut-sized amount into damp hair and lather while massaging the scalp with your fingertips. Rinse out with plenty of warm water.,"AQUA (WATER), LAURYL GLUCOSIDE , SODIUM LAURETH SULFATE, SODIUM LAUROYL OAT AMINO ACIDS, PARFUM (FRAGRANCE), BETAINE, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, FRUCTOOLIGOSACCHARIDES, ALPHA-GLUCAN OLIGOSACCHARIDE, BETA VULGARIS (BEET) ROOT EXTRACT, INULIN, MARIS SAL (SEA SALT), PHENOXYETHANOL, SODIUM BENZOATE, SODIUM GLUCONATE, SODIUM LACTATE, COCO-GLUCOSIDE , GLYCERYL OLEATE, LACTIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, TROMETHAMINE, LIMONENE, SODIUM CITRATE, BENZOIC ACID, CITRUS LIMON PEEL OIL, SODIUM POLYPHOSPHATE, CITRUS AURANTIUM PEEL OIL, DEHYDROACETIC ACID, CITRIC ACID, POTASSIUM LACTATE, TETRASODIUM EDTA, PINENE, CITRAL, ETHYLHEXYLGLYCERIN, TOCOPHEROL, HYDROGENATED VEGETABLE GLYCERIDES CITRATE, LECITHIN, ASCORBYL PALMITATE",yes,no
Automatic Pencil for Lips LL32 Rosewood,en,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218888799,/automatic-pencil-for-lips?childSku=4040218888799,019055,The waterproof lip liner creates wonderfully defined lips.,"25,00 €",,"0,35 g",Make-Up,Twist the liner out of the automatic case and gently outline or shade the lip line. Caution: you cannot twist the liner back into the case!,"C9-12 ALKANE, MICA, BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE, SUCROSE TETRASTEARATE TRIACETATE, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED CASTOR OIL, SYNTHETIC WAX, CI 77491 (IRON OXIDES), COPERNICIA CERIFERA CERA (CARNAUBA WAX), POLYGLYCERYL-4 DIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE, CI 77492 (IRON OXIDES), CI 77499 (IRON OXIDES), CI 15985 (YELLOW 6 LAKE), DISTEARDIMONIUM HECTORITE, CI 15850 (RED 7), TOCOPHEROL, PROPYLENE CARBONATE",yes,yes
Pencil for Eyes Violet Silk,en,https://image.labiosthetique.com/i/square-1440/m2-product:pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/feed-media.jpg,https://www.labiosthetique.de/pencil-for-eyes?childSku=4040218875898,/pencil-for-eyes?childSku=4040218875898,017524,"The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes","22,00 €","20,75 € / 1 g","1,06 g",Make-Up,Gently apply Pencil for Eyes to the inside edge of your eyes or on the bottom and/or top lashes.,"HYDROGENATED JOJOBA OIL, CI 77007 (ULTRAMARINES), CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED VEGETABLE OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, BUTYROSPERMUM PARKII (SHEA) BUTTER, CANOLA OIL, MICA, SCLEROCARYA BIRREA (MARULA) SEED OIL, CI 77499 (IRON OXIDES), CI 75470 (CARMINE), CI 77891 (TITANIUM DIOXIDE), CANDELILLA CERA (EUPHORBIA CERIFERA WAX), MALTODEXTRIN, GLYCERYL CAPRYLATE, COPERNICIA CERIFERA CERA (CARNAUBA WAX), TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, ASCORBYL PALMITATE",yes,no
Harmonising Wellness Tea Beutel,en,https://image.labiosthetique.com/i/square-1440/m2-product:harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/feed-media.jpg,https://www.labiosthetique.de/harmonising-wellness-tea?childSku=4040218879698,/harmonising-wellness-tea?childSku=4040218879698,002142,The harmonising wellness tea imparts a soothing balance to the body from the inside. Its ingredients from certified organic cultivation are inspired by the popular fragrance composition of the Spa body care range.,"12,50 €","416,67 € / 1 kg",30 g,Hautpflege,Pour boiling water onto a pyramid bag in a cup and leave to steep for 7–10 minutes.,,no,no
Scalp Care Set Méthode Clarifiante ,en,https://image.labiosthetique.com/i/square-1440/m2-product:scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg/feed-media.jpg,https://www.labiosthetique.de/scalp-care-set-methode-clarifiante,/scalp-care-set-methode-clarifiante,012938,"The Méthode Clarifiante care routine regulates excessive sweat production, restores the balance of the scalp and improves the hair quality – for long-lasting freshness and visibly healthy hair.","37,50 €",,1 set,Haar- & Kopfhautpflege,"Distribute Moisture Control Shampoo evenly in moist hair and on the scalp, briefly leave it to take effect, then rinse it out thoroughly. Next, apply Moisture Control Scalp Lotion along the parting of the scalp and gently massage it in. Do not rinse it out.","Moisture Control Shampoo INGREDIENTS: AQUA (WATER), SODIUM LAURETH SULFATE, DISODIUM LAURETH SULFOSUCCINATE, CAPRYLYL/CAPRYL GLUCOSIDE, LAURYL PYRROLIDONE, PROPANEDIOL, POLYGLYCERYL-3 OLEATE, SODIUM BENZOATE, SODIUM CHLORIDE, PARFUM (FRAGRANCE), BETAINE, ACETIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, BENZOIC ACID, FOMES OFFICINALIS (MUSHROOM) EXTRACT, CITRIC ACID, POTASSIUM SORBATE, LIMONENE, CITRUS LIMON (LEMON) PEEL OIL, PINENE Moisture Control Scalp Lotion INGREDIENTS: AQUA (WATER), ALCOHOL DENAT., PROPANEDIOL, NIACINAMIDE, LYSINE ASPARTATE, ETHOXYDIGLYCOL, FOMES OFFICINALIS (MUSHROOM) EXTRACT, SODIUM BENZOATE, COCO-BETAINE, SODIUM CHLORIDE, LACTIC ACID, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LIMONENE, CITRUS LIMON (LEMON) PEEL OIL, PINENE",yes,yes
Comforting Hydro Toner,en,https://image.labiosthetique.com/i/square-1440/m2-product:comforting_hydro_toner_392037_50ml_8643769.jpg/feed-media.jpg,https://www.labiosthetique.de/comforting-hydro-toner?childSku=4040218868197,/comforting-hydro-toner?childSku=4040218868197,003737,"The soothing toner alleviates the symptoms of sensitive, irritated skin, supplies it with rich moisture and perfectly prepares it for the subsequent care steps. Ideal in combination with Méthode Clarifiante.","6,50 €","130,00 € / 1 l",50 ml,Hautpflege,"In the morning and evening, use a cotton pad or the sprayer to apply the toner to the skin on the face, neck and décolleté.","AQUA (WATER), GLYCERIN, SORBITOL, HYDROXYPHENYL PROPAMIDOBENZOIC ACID, PANTHENOL, ASCORBYL PALMITATE, TOCOPHEROL, ETHYLHEXYLGLYCERIN, BUTYLENE GLYCOL, PENTYLENE GLYCOL, CITRIC ACID, PHENOXYETHANOL",yes,yes
Hairloss Control Scalp Concentrate,en,https://image.labiosthetique.com/i/square-1440/m2-product:hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/feed-media.jpg,https://www.labiosthetique.de/hairloss-control-scalp-concentrate,/hairloss-control-scalp-concentrate,120931,"The scalp concentrate revitalises the hair roots and prolongs the life cycle of the hair. It uses differentiated effect mechanisms to combat hair loss, promote hair growth and significantly improve the quality and density of the hair.","158,50 €","1.585,00 € / 1 l",100 ml,Haar- & Kopfhautpflege,"Apply the contents of one ampoule to the scalp along the parting and massage in gently. Allow to absorb before blow-drying. For intensive treatment, we recommend that you ideally apply the product every other day over a period of three months. For prophylaxis in the case of age-related weakening hair growth and if there is a recognisable tendency towards hair loss in the family, long-term preventive treatment with 1–2 ampoules per week is recommended. The same applies to age-related weakened hair.","AQUA (WATER), ALCOHOL DENAT., GLYCERIN, PANAX GINSENG ROOT EXTRACT, PHENOXYETHANOL, ARGININE, ACETYL TYROSINE, ARCTIUM MAJUS ROOT EXTRACT, HYDROLYZED SOY PROTEIN, HYDROXYPROPYL GUAR, MANNITOL, PHOSPHATIDYLCHOLINE, CALCIUM PANTOTHENATE , ZINC GLUCONATE, MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT, ETHYLHEXYLGLYCERIN, NIACINAMIDE, ORNITHINE HCL, TROMETHAMINE, XANTHAN GUM, LACTIC ACID, CHLORELLA VULGARIS/LUPINUS ALBUS PROTEIN FERMENT, POLYGLYCERYL-10 LAURATE, CITRULLINE, CETYL ALCOHOL, SODIUM BENZOATE, POTASSIUM SORBATE, CITRIC ACID, LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT, GLUCOSAMINE HCL, SORBITAN OLEATE, BIOTIN, DISODIUM SUCCINATE, SODIUM METABISULFITE, CETRIMONIUM CHLORIDE, LARIX EUROPAEA WOOD EXTRACT, CAPRYLYL GLYCOL, LECITHIN, SALVIA MILTIORRHIZA LEAF EXTRACT, PHYTOSPHINGOSINE, GLYCINE, CAMELLIA SINENSIS LEAF EXTRACT, PALMITOYL TETRAPEPTIDE-20, ZINC CHLORIDE, TOCOPHEROL",yes,yes
Clarifying Spot Gel,en,https://image.labiosthetique.com/i/square-1440/m2-product:clarifying_spot_gel_396279_15ml_66db2a2.jpg/feed-media.jpg,https://www.labiosthetique.de/clarifying-spot-gel,/clarifying-spot-gel,002739,Clarifying hydrogel for the targeted and effective treatment of areas of skin containing spots and blackheads. For all lovers ofLikopan Gel this will be your new favorite product.,"24,50 €","1.633,33 € / 1 l",15 ml,Hautpflege,Apply the gel directly to the cleansed affected areas of skin and leave it to take effect. The gel can be applied to specific areas of skin several times a day.,"AQUA (WATER), ALCOHOL DENAT., HYDROXYPROPYL GUAR, GARCINIA MANGOSTANA PEEL EXTRACT, DIPOTASSIUM GLYCYRRHIZATE, PROPANEDIOL",yes,yes
