title,locale,image_url,url,path,labio_identnummer,description,price,Grundpreis,Füllmenge,category,Anwendung,Inhaltsstoffe,Siliconfree,Vegan,Verfügbar
Eyeshadow Pen Smoky Topaz,de,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218791099,/eyeshadow-pen?childSku=4040218791099,016399,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt","23,50 €",0,"1,4 g",Make-Up,Den Eyeshadow Pen als Lidschatten auf das gesamte Oberlid oder als Eyeliner entlang des Wimpernkranzes auftragen. Mit den Fingern oder einem Pinsel lässt sich die Farbe auch einfach verblenden. Tipp: Für Smokey Eyes den Lidschatten am äußeren Lidrand intensiver auftragen und nach oben hin verblenden.,"ISODODECANE, MICA, SYNTHETIC WAX, ETHYLENE/PROPYLENE COPOLYMER, SILICA, POLYMETHYLSILSESQUIOXANE, POLYBUTENE, HYDROGENATED POLYDICYCLOPENTADIENE, CI 77499 (IRON OXIDES), CI 77000 (ALUMINUM POWDER), CI 77891 (TITANIUM DIOXIDE), SUCROSE TETRASTEARATE TRIACETATE, CI 77491 (IRON OXIDES), COCO-CAPRYLATE/CAPRATE, ORYZA SATIVA (RICE) BRAN WAX, SYNTHETIC BEESWAX, HYDROGENATED CASTOR OIL, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, TIN OXIDE",no,no,ja
Eyeshadow Pen Smoky Topaz,en,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218791099,/eyeshadow-pen?childSku=4040218791099,016399,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,"23,50 €",0,"1,4 g",Make-up,Apply the Eyeshadow Pen as an eyeshadow to the whole top lid or as an eyeliner along the lashes. The colour is easy to blend with the fingers or a brush.,"ISODODECANE, MICA, SYNTHETIC WAX, ETHYLENE/PROPYLENE COPOLYMER, SILICA, POLYMETHYLSILSESQUIOXANE, POLYBUTENE, HYDROGENATED POLYDICYCLOPENTADIENE, CI 77499 (IRON OXIDES), CI 77000 (ALUMINUM POWDER), CI 77891 (TITANIUM DIOXIDE), SUCROSE TETRASTEARATE TRIACETATE, CI 77491 (IRON OXIDES), COCO-CAPRYLATE/CAPRATE, ORYZA SATIVA (RICE) BRAN WAX, SYNTHETIC BEESWAX, HYDROGENATED CASTOR OIL, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, TIN OXIDE",no,no,ja
Eyeshadow Pen Cloudy Lilac,de,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218829099,/eyeshadow-pen?childSku=4040218829099,016301,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt","23,50 €",0,"1,4 g",Make-Up,Den Eyeshadow Pen als Lidschatten auf das gesamte Oberlid oder als Eyeliner entlang des Wimpernkranzes auftragen. Mit den Fingern oder einem Pinsel lässt sich die Farbe auch einfach verblenden. Tipp: Für Smokey Eyes den Lidschatten am äußeren Lidrand intensiver auftragen und nach oben hin verblenden.,"DIMETHICONE, MICA, SILICA, ISOAMYL COCOATE, SUCROSE TETRASTEARATE TRIACETATE, CI 77499 (IRON OXIDES), POLYBUTENE, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED JOJOBA OIL, SYNTHETIC WAX, TRIMETHYLSILOXYSILICATE/DIMETHICONOL CROSSPOLYMER, CI 77491 (IRON OXIDES), GLYCERYL CAPRYLATE, SILICA SILYLATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, ETHYLENE/METHACRYLATE COPOLYMER, TIN OXIDE, ISOPROPYL TITANIUM TRIISOSTEARATE",no,yes,ja
Eyeshadow Pen Cloudy Lilac,en,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218829099,/eyeshadow-pen?childSku=4040218829099,016301,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,"23,50 €",0,"1,4 g",Make-up,Apply the Eyeshadow Pen as an eyeshadow to the whole top lid or as an eyeliner along the lashes. The colour is easy to blend with the fingers or a brush.,"DIMETHICONE, MICA, SILICA, ISOAMYL COCOATE, SUCROSE TETRASTEARATE TRIACETATE, CI 77499 (IRON OXIDES), POLYBUTENE, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED JOJOBA OIL, SYNTHETIC WAX, TRIMETHYLSILOXYSILICATE/DIMETHICONOL CROSSPOLYMER, CI 77491 (IRON OXIDES), GLYCERYL CAPRYLATE, SILICA SILYLATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, ETHYLENE/METHACRYLATE COPOLYMER, TIN OXIDE, ISOPROPYL TITANIUM TRIISOSTEARATE",no,yes,ja
Spa Wellness Hair Shampoo,de,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-wellness-hair-shampoo?childSku=4040218855999,/spa-wellness-hair-shampoo?childSku=4040218855999,120725,Wellness-Shampoo für die tägliche Haarwäsche,"25,00 €","100,00 € / 1 l",250 ml,Haar- & Kopfhautpflege,Eine haselnussgroße Menge im feuchten Haar verteilen und aufschäumen. Die Kopfhaut dabei mit den Fingerspitzen massieren. Mit reichlich warmem Wasser ausspülen.,"AQUA (WATER), LAURYL GLUCOSIDE , SODIUM LAURETH SULFATE, SODIUM LAUROYL OAT AMINO ACIDS, PARFUM (FRAGRANCE), BETAINE, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, FRUCTOOLIGOSACCHARIDES, ALPHA-GLUCAN OLIGOSACCHARIDE, BETA VULGARIS (BEET) ROOT EXTRACT, INULIN, MARIS SAL (SEA SALT), PHENOXYETHANOL, SODIUM BENZOATE, SODIUM GLUCONATE, SODIUM LACTATE, COCO-GLUCOSIDE , GLYCERYL OLEATE, LACTIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, TROMETHAMINE, LIMONENE, SODIUM CITRATE, BENZOIC ACID, CITRUS LIMON PEEL OIL, SODIUM POLYPHOSPHATE, CITRUS AURANTIUM PEEL OIL, DEHYDROACETIC ACID, CITRIC ACID, POTASSIUM LACTATE, TETRASODIUM EDTA, PINENE, CITRAL, ETHYLHEXYLGLYCERIN, TOCOPHEROL, HYDROGENATED VEGETABLE GLYCERIDES CITRATE, LECITHIN, ASCORBYL PALMITATE",yes,no,ja
Spa Wellness Hair Shampoo,en,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-wellness-hair-shampoo?childSku=4040218855999,/spa-wellness-hair-shampoo?childSku=4040218855999,120725,Wellness shampoo for daily hair-washing.,"25,00 €","100,00 € / 1 l",250 ml,Hair & scalp care,Distribute a hazelnut-sized amount into damp hair and lather while massaging the scalp with your fingertips. Rinse out with plenty of warm water.,"AQUA (WATER), LAURYL GLUCOSIDE , SODIUM LAURETH SULFATE, SODIUM LAUROYL OAT AMINO ACIDS, PARFUM (FRAGRANCE), BETAINE, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, FRUCTOOLIGOSACCHARIDES, ALPHA-GLUCAN OLIGOSACCHARIDE, BETA VULGARIS (BEET) ROOT EXTRACT, INULIN, MARIS SAL (SEA SALT), PHENOXYETHANOL, SODIUM BENZOATE, SODIUM GLUCONATE, SODIUM LACTATE, COCO-GLUCOSIDE , GLYCERYL OLEATE, LACTIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, TROMETHAMINE, LIMONENE, SODIUM CITRATE, BENZOIC ACID, CITRUS LIMON PEEL OIL, SODIUM POLYPHOSPHATE, CITRUS AURANTIUM PEEL OIL, DEHYDROACETIC ACID, CITRIC ACID, POTASSIUM LACTATE, TETRASODIUM EDTA, PINENE, CITRAL, ETHYLHEXYLGLYCERIN, TOCOPHEROL, HYDROGENATED VEGETABLE GLYCERIDES CITRATE, LECITHIN, ASCORBYL PALMITATE",yes,no,ja
glam + colour Icy Crystal .07 .LV Colouring Conditioner,de,https://image.labiosthetique.com/i/square-1440/m2-product:glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/feed-media.jpg,https://www.labiosthetique.de/glam-colour-icy-crystal-07-lv-colouring-conditioner,/glam-colour-icy-crystal-07-lv-colouring-conditioner,120107,"Der pflegende, restrukturierende Farbconditioner mit Farbschutz und UV-Glanz-Komplex neutralisiert den Gelbstich und frischt den eisig kühlen Kristallreflex in blondiertem, coloriertem und naturblondem Haar auf.","29,50 €","196,67 € / 1 l",150 ml,Haar- & Kopfhautpflege,"Icy Crystal .07 .LV Colouring Conditioner gleichmäßig im gewaschenen, handtuchtrockenen Haar verteilen. 1–2 Minuten einwirken lassen und anschließend gründlich ausspülen.","AQUA (WATER), CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, SQUALANE, BEHENTRIMONIUM METHOSULFATE, CETRIMONIUM CHLORIDE, DIMETHYLPABAMIDOPROPYL LAURDIMONIUM TOSYLATE, PHENOXYETHANOL, PARFUM (FRAGRANCE), BUTYLENE GLYCOL, DISODIUM DISTYRYLBIPHENYL DISULFONATE, PANTHENOL, ETHYLHEXYLGLYCERIN, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, HELIANTHUS ANNUUS (SUNFLOWER) SEED EXTRACT, CITRIC ACID, LACTIC ACID, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LIMONENE, LINALOOL, ACID VIOLET 43, TOCOPHEROL, BASIC VIOLET 2, SODIUM POLYPHOSPHATE",no,no,ja
glam + colour Icy Crystal .07 .LV Colouring Conditioner,en,https://image.labiosthetique.com/i/square-1440/m2-product:glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/feed-media.jpg,https://www.labiosthetique.de/glam-colour-icy-crystal-07-lv-colouring-conditioner,/glam-colour-icy-crystal-07-lv-colouring-conditioner,120107,"Conditions and fortifies cool naturally blonde, colored and bleached hair. The hair is not only moisturized, it is left refreshed with a radiant crystal shimmer.","29,50 €","196,67 € / 1 l",150 ml,Hair & scalp care,"Evenly distribute and knead Glam Color No Yellow Conditioner .07 Crystal into washed, towel-dried hair. Allow to take effect for 1 – 2 minutes. Then rinse thoroughly. No Yellow Conditioner .07 Crystal doesn’t stain the skin and can easily be used under the shower.","AQUA (WATER), CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, SQUALANE, BEHENTRIMONIUM METHOSULFATE, CETRIMONIUM CHLORIDE, DIMETHYLPABAMIDOPROPYL LAURDIMONIUM TOSYLATE, PHENOXYETHANOL, PARFUM (FRAGRANCE), BUTYLENE GLYCOL, DISODIUM DISTYRYLBIPHENYL DISULFONATE, PANTHENOL, ETHYLHEXYLGLYCERIN, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, HELIANTHUS ANNUUS (SUNFLOWER) SEED EXTRACT, CITRIC ACID, LACTIC ACID, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LIMONENE, LINALOOL, ACID VIOLET 43, TOCOPHEROL, BASIC VIOLET 2, SODIUM POLYPHOSPHATE",no,no,ja
Automatic Pencil for Lips LL32 Rosewood,de,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218888799,/automatic-pencil-for-lips?childSku=4040218888799,019055,"Der wasserfeste Lippenkonturen-Stift zaubert wunderschöne, definierte Lippen.","25,00 €",0,"0,35 g",Make-Up,Den Stift aus der Automatikhülle herausdrehen und die Lippenkontur sanft nachziehen oder nuancieren. Achtung: der Stift kann nicht zurückgedreht werden!,"C9-12 ALKANE, MICA, BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE, SUCROSE TETRASTEARATE TRIACETATE, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED CASTOR OIL, SYNTHETIC WAX, CI 77491 (IRON OXIDES), COPERNICIA CERIFERA CERA (CARNAUBA WAX), POLYGLYCERYL-4 DIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE, CI 77492 (IRON OXIDES), CI 77499 (IRON OXIDES), CI 15985 (YELLOW 6 LAKE), DISTEARDIMONIUM HECTORITE, CI 15850 (RED 7), TOCOPHEROL, PROPYLENE CARBONATE",yes,yes,ja
Automatic Pencil for Lips LL32 Rosewood,en,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218888799,/automatic-pencil-for-lips?childSku=4040218888799,019055,The waterproof lip liner creates wonderfully defined lips.,"25,00 €",0,"0,35 g",Make-up,Twist the liner out of the automatic case and gently outline or shade the lip line. Caution: you cannot twist the liner back into the case!,"C9-12 ALKANE, MICA, BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE, SUCROSE TETRASTEARATE TRIACETATE, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED CASTOR OIL, SYNTHETIC WAX, CI 77491 (IRON OXIDES), COPERNICIA CERIFERA CERA (CARNAUBA WAX), POLYGLYCERYL-4 DIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE, CI 77492 (IRON OXIDES), CI 77499 (IRON OXIDES), CI 15985 (YELLOW 6 LAKE), DISTEARDIMONIUM HECTORITE, CI 15850 (RED 7), TOCOPHEROL, PROPYLENE CARBONATE",yes,yes,ja
Hairloss Control Set,de,https://image.labiosthetique.com/i/square-1440/m2-product:hairloss_control_set_167702_1Set_18802b8.jpg/feed-media.jpg,https://www.labiosthetique.de/hairloss-control-set,/hairloss-control-set,012262,"Exklusives Anti-Aging-Pflegeset für dünner werdendes Haar. Die Kombination aus Hairloss Control Shampoo (250ml), Hairloss Control Scalp Lotion (100ml) & einer Scalp Brush stärkt die Haarwurzeln, reduziert Haarausfall und fördert sichtbar dichteres, kräftigeres Haar.","105,00 €",0,1 set,Haar- & Kopfhautpflege,"Hairloss Control Shampoo Gleichmäßig im Haar und auf der Kopfhaut verteilen, kurz einwirken lassen und gründlich ausspülen. Hairloss Control Scalp Lotion Nach der Haarwäsche scheitelweise auf die Kopfhaut applizieren und leicht einmassieren. Scalp Brush Beim Shampoonieren: Shampoo aufschäumen und mit der Bürste sanft einmassieren, um die Reinigung zu intensivieren und die Kopfhaut zu beleben. Als Haarpflege: Maske oder Conditioner in Längen und Spitzen verteilen und mit der Bürste einkämmen, damit jedes Haar gleichmäßig mit Pflege umhüllt wird. Als Kopfhautmassage: Auf trockener Kopfhaut anwenden, um die Mikrozirkulation anzuregen und die Kopfhaut zu entspannen.""","Hairloss Control Shampoo INGREDIENTS: AQUA (WATER), SODIUM LAURETH SULFATE, COCAMIDOPROPYL BETAINE, SODIUM CHLORIDE, PHENOXYETHANOL, TROMETHAMINE, PANTHENOL, POLYQUATERNIUM-7, SODIUM BENZOATE, BENZOIC ACID, POLYQUATERNIUM-10, LACTIC ACID, ETHYLHEXYLGLYCERIN, SODIUM POLYPHOSPHATE, PARFUM (FRAGRANCE), CITRIC ACID, ALCOHOL, CHLORELLA VULGARIS/LUPINUS ALBUS PROTEIN FERMENT, KERATIN, MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT, MANNITOL, PHOSPHATIDYLCHOLINE, GLYCERIN, HYDROLYZED KERATIN, LECITHIN, POTASSIUM SORBATE, POLYGLYCERYL-10 LAURATE, XANTHAN GUM, SODIUM ACETATE, CETYL ALCOHOL, LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT, NIACINAMIDE, SORBITAN OLEATE, ISOPROPYL ALCOHOL, CAPRYLYL GLYCOL, CETRIMONIUM CHLORIDE, SODIUM LACTATE, SALVIA MILTIORRHIZA LEAF EXTRACT, PORPHYRA UMBILICALIS EXTRACT , TOCOPHEROL, PHYTOSPHINGOSINE Hairloss Control Scalp Lotion INGREDIENTS: AQUA (WATER), ALCOHOL DENAT., PANAX GINSENG ROOT EXTRACT, VP/VA COPOLYMER, HYDROXYPROPYL GUAR, ARGININE, ACETYL TYROSINE, ARCTIUM MAJUS ROOT EXTRACT, HYDROLYZED SOY PROTEIN, PHENOXYETHANOL, CALCIUM PANTOTHENATE , ZINC GLUCONATE, MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT, GLYCERIN, NIACINAMIDE, ORNITHINE HCL, CHLORELLA VULGARIS/LUPINUS ALBUS PROTEIN FERMENT, CITRULLINE, MANNITOL, PHOSPHATIDYLCHOLINE, GLUCOSAMINE HCL, XANTHAN GUM, DISODIUM SUCCINATE, SODIUM BENZOATE, POTASSIUM SORBATE, POLYGLYCERYL-10 LAURATE, CETYL ALCOHOL, BIOTIN, CITRIC ACID, LECITHIN, LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT, CAPRYLYL GLYCOL, SORBITAN OLEATE, HYDROGEN PEROXIDE, SALVIA MILTIORRHIZA LEAF EXTRACT, SODIUM METABISULFITE, CETRIMONIUM CHLORIDE, LARIX EUROPAEA WOOD EXTRACT, PHYTOSPHINGOSINE, GLYCINE, CAMELLIA SINENSIS LEAF EXTRACT, ZINC CHLORIDE",no,no,nein
