id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
017945;Perfect Boost;Make-up;Perfect Boost;;;;;;;;;;;https://www.labiosthetique.nl/nl/perfect-boost;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;;https://www.labiosthetique.nl/nl/perfect-boost;;;;;;;;;;;;;;;;Mascarabasis voor verzorgde en lange wimpers;;;;;;;;;;;;;;;;;;;
016399;Eyeshadow Pen Smoky Topaz;Make-up;Eyeshadow Pen Smoky Topaz;;;;;;;;;;;https://www.labiosthetique.nl/nl/eyeshadow-pen?childSku=4040218791099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;;https://www.labiosthetique.nl/nl/eyeshadow-pen?childSku=4040218791099;;;;;;;;;;;;;;;;Praktische oogschaduwpen: Creëert snel en gemakkelijk een perfecte, wis- en watervaste oogmake-up;;;;;;;;;;;;;;;;;;;
016082;Magic Shadow Duo Dusty Rose & Maroon;Make-up;Magic Shadow Duo Dusty Rose & Maroon;;;;;;;;;;;https://www.labiosthetique.nl/nl/magic-shadow-duo?childSku=4040218797299;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg;;https://www.labiosthetique.nl/nl/magic-shadow-duo?childSku=4040218797299;;;;;;;;;;;;;;;;Cool oogschaduwduo met onweerstaanbaar zijdezachte textuur;;;;;;;;;;;;;;;;;;;
017615;Smart Liner Dark Brown;Make-up;Smart Liner Dark Brown;;;;;;;;;;;https://www.labiosthetique.nl/nl/smart-liner?childSku=4040218819199;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/m/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg;;https://www.labiosthetique.nl/nl/smart-liner?childSku=4040218819199;;;;;;;;;;;;;;;;Vloeibare long lasting eyeliner voor langaanhoudende en onvergetelijke ogenblikken;;;;;;;;;;;;;;;;;;;
016301;Eyeshadow Pen Cloudy Lilac;Make-up;Eyeshadow Pen Cloudy Lilac;;;;;;;;;;;https://www.labiosthetique.nl/nl/eyeshadow-pen?childSku=4040218829099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;;https://www.labiosthetique.nl/nl/eyeshadow-pen?childSku=4040218829099;;;;;;;;;;;;;;;;Praktische oogschaduwpen: Creëert snel en gemakkelijk een perfecte, wis- en watervaste oogmake-up;;;;;;;;;;;;;;;;;;;
002396;Sun Care Body Lotion SPF 50;Gezichts- en lichaamsverzorging;Sun Care Body Lotion SPF 50;;;;;;;;;;;https://www.labiosthetique.nl/nl/sun-care-body-lotion-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;;https://www.labiosthetique.nl/nl/sun-care-body-lotion-spf-50;;;;;;;;;;;;;;;;Zonnelotion met SPF 50;;;;;;;;;;;;;;;;;;;
120725;Spa Wellness Hair Shampoo;Haarverzorging;Spa Wellness Hair Shampoo;;;;;;;;;;;https://www.labiosthetique.nl/nl/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;;https://www.labiosthetique.nl/nl/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;;;;;;;;;;;;Wellness-shampoo voor dagelijks gebruik;;;;;;;;;;;;;;;;;;;
017339;Automatic Pencil for Eyes K05 Black;Make-up;Automatic Pencil for Eyes K05 Black;;;;;;;;;;;https://www.labiosthetique.nl/nl/automatic-pencil-for-eyes?childSku=4040218765298;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg;;https://www.labiosthetique.nl/nl/automatic-pencil-for-eyes?childSku=4040218765298;;;;;;;;;;;;;;;;Waterbestendig oogpotlood voor langaanhoudende en onvergetelijke ogenblikken;;;;;;;;;;;;;;;;;;;
016555;Magic Shadow 04 Champagne;Make-up;Magic Shadow 04 Champagne;;;;;;;;;;;https://www.labiosthetique.nl/nl/magic-shadow?childSku=4040218769098;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_04_champagne_120287_2_5g_d039f9f.jpg/magic_shadow_04_champagne_120287_2_5g_d039f9f.jpg;;https://www.labiosthetique.nl/nl/magic-shadow?childSku=4040218769098;;;;;;;;;;;;;;;;Magisch oogschaduwpoeder met langaanhoudende, zijdezachte textuur;;;;;;;;;;;;;;;;;;;
020607;Brilliant Nail Top Coat;Make-up;Brilliant Nail Top Coat;;;;;;;;;;;https://www.labiosthetique.nl/nl/brilliant-nail-top-coat;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;;https://www.labiosthetique.nl/nl/brilliant-nail-top-coat;;;;;;;;;;;;;;;;Verzegelende transparante nagellak met een hoogglans look: kan over en in plaats van een gekleurde nagellak worden aangebracht om de nagels te beschermen;;;;;;;;;;;;;;;;;;;
