title;id;description;link;image_link;price;condition;availability;gtin;brand;size;product_type;google_product_category;unit_pricing_base_measure;unit_pricing_measure;is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz;016399;Stylo fard à paupières avec une texture douce et crémeuse facile à appliquer et à estomper. S'emploie comme fard à paupières ou  eyeliner.;https://www.labiosthetique.ca/fr/eyeshadow-pen?childSku=4040218791099;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;43,00 EUR;new;in stock;4040218791099;La Biosthétique;1,4 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,4 g;FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac;016301;Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt;https://www.labiosthetique.ca/fr/eyeshadow-pen?childSku=4040218829099;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;43,00 EUR;new;in stock;4040218829099;La Biosthétique;1,4 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,4 g;FALSE
La Biosthétique Spa Wellness Hair Shampoo;120725;Shampooing bien-être à usage quotidien;https://www.labiosthetique.ca/fr/spa-wellness-hair-shampoo?childSku=4040218855999;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;40,00 EUR;new;in stock;4040218855999;La Biosthétique;250 ml;Soins cheveux & cuir chevelu;Health & Beauty > Personal Care > Hair Care;1 l;250 ml;FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;120107;"No Yellow Conditioner .07 Crystal revitalise et fortifie les cheveux naturellement blonds, colorés et décolorés. Les cheveux ne sont pas seulement hydratés; la couleur est rehaussée avec un aspect cristal radieux. ";https://www.labiosthetique.ca/fr/glam-colour-icy-crystal-07-lv-colouring-conditioner;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;46,00 EUR;new;in stock;4040218871999;La Biosthétique;150 ml;Soins cheveux & cuir chevelu;Health & Beauty > Personal Care > Hair Care;1 l;150 ml;FALSE
La Biosthétique Tinted Eyebrow Gel ;PF0099;Le gel teinté vous permet de modeler parfaitement les sourcils, de les épaissir, de combler les trous et de fixer les sourcils avec une finition mate naturelle. ;https://www.labiosthetique.ca/fr/tinted-eyebrow-gel;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/t/i/tinted_eyebrow_gel_247581_f5574dd.jpg/tinted_eyebrow_gel_247581_f5574dd.jpg;0,00 EUR;new;in stock;4040999PF0099;La Biosthétique;;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;;FALSE
La Biosthétique Pencil for Eyes Violet Silk;017524;Le crayon pour les yeux merveilleusement doux présente une texture soyeuse unique pour une application précise et un regard éveillé et naturellement radieux.  ;https://www.labiosthetique.ca/fr/pencil-for-eyes?childSku=4040218875898;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;35,00 EUR;new;in stock;4040218875898;La Biosthétique;1,06 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;1 g;1,06 g;FALSE
La Biosthétique Homme Hair Beard Body Wash;003939;3 in 1: Duschgel, Shampoo und Bartshampoo in einem. Dieses betörend duftende All in one-Produkt reinigt sanft und zuverlässig, während es mild Haut und Haar pflegt.;https://www.labiosthetique.ca/fr/hair-beard-body-wash?childSku=4040218802597;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;25,00 EUR;new;in stock;4040218802597;La Biosthétique;75 ml;Soins cheveux & cuir chevelu,Soins de la peau;Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;75 ml;FALSE
La Biosthétique Comforting Hydro Toner;003737;Ce tonique bienfaisant soulage les symptômes d'une peau sensible irritée, l'hydrate intensément et la prépare de manière optimale aux étapes de soin suivantes.;https://www.labiosthetique.ca/fr/comforting-hydro-toner?childSku=4040218868197;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;25,00 EUR;new;in stock;4040218868197;La Biosthétique;50 ml;Soins de la peau;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;50 ml;FALSE
La Biosthétique Clarifying Spot Gel;002739;Hydrogel clarifiant pour le traitement ciblé et efficace des zones concernées en cas de points noirs et de boutons.;https://www.labiosthetique.ca/fr/clarifying-spot-gel;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg;43,00 EUR;new;in stock;4040218882797;La Biosthétique;15 ml;Soins de la peau;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;15 ml;FALSE
La Biosthétique Liquid Glam;021278;Le gel pailleté transparent et polyvalent crée des reflets étincelants sur la peau et met en valeur les yeux, les pommettes, les lèvres ou le décolleté.;https://www.labiosthetique.ca/fr/liquid-glam;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;61,00 EUR;new;in stock;4040218876796;La Biosthétique;4 ml;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;1 ml;4 ml;FALSE
La Biosthétique Liquid Lipstick;PF0096;La texture soyeuse du Liquide Lipstick offre une couleur intense et un fini semi-mat.  ;https://www.labiosthetique.ca/fr/liquid-lipstick;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_lipstick_260683_80b088f.jpg/liquid_lipstick_260683_80b088f.jpg;0,00 EUR;new;in stock;4040999PF0096;La Biosthétique;;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;;FALSE
La Biosthétique Colour Protection Structure Restoring Treatment;123212;In zwei Phasen repariert und regeneriert die Intensivhaarpflege die innere und äußere Struktur chemisch beanspruchter Haare, stärkt das Haar, bewahrt vor Haarbruch und schützt das Haar vor negativen Umwelteinflüssen sowie frühzeitigem Farbverlust.;https://www.labiosthetique.ca/fr/colour-protection-structure-restoring-treatment;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg;84,00 EUR;new;in stock;4040218849295;La Biosthétique;1 set;Soins cheveux & cuir chevelu;Health & Beauty > Personal Care > Hair Care;1 l;1 set;FALSE
La Biosthétique After Sun Soothing Hydro Spray;002241;Das erfrischende Hydro Spray beruhigt und entspannt sonnengestresste Haut sofort und spendet wertvolle Feuchtigkeit.;https://www.labiosthetique.ca/fr/after-sun-soothing-hydro-spray;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg;42,00 EUR;new;in stock;4040218863895;La Biosthétique;100 ml;Soins de la peau;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;100 ml;FALSE
La Biosthétique Highlighter Trio ;PF0095;Une poudre soyeuse avec des reflets irisés pour une peau velouté et naturellement éclatante.  ;https://www.labiosthetique.ca/fr/highlighter-trio;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/i/highlighter_trio_247793_c4e7ab1.jpg/highlighter_trio_247793_c4e7ab1.jpg;0,00 EUR;new;in stock;4040999PF0095;La Biosthétique;;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;;FALSE
La Biosthétique Magic Shadow 47 Smooth Cappuccino;016756;Cette ombre à paupières en poudre pare les paupières de reflets magiques grâce à ses pigments colorés en poudre.;https://www.labiosthetique.ca/fr/magic-shadow?childSku=4040218824094;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg;43,00 EUR;new;in stock;4040218824094;La Biosthétique;2,5 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;2,5 g;FALSE
