title;id;description;link;image_link;price;condition;availability;gtin;brand;size;product_type;google_product_category;unit_pricing_base_measure;unit_pricing_measure;is_bundle
La Biosthétique Eyeshadow Pen Smoky Topaz;016399;Utilizzabile sia come eyeliner che come ombretto: Eyeshadow Pen dalla consistenza cremosa, facile da stendere e sfumare.;https://www.labiosthetique.it/eyeshadow-pen?childSku=4040218791099;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;23,50 EUR;new;in stock;4040218791099;La Biosthétique;1,4 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,4 g;FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac;016301;Utilizzabile sia come eyeliner che come ombretto: Eyeshadow Pen dalla consistenza cremosa, facile da stendere e sfumare.;https://www.labiosthetique.it/eyeshadow-pen?childSku=4040218829099;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;23,50 EUR;new;in stock;4040218829099;La Biosthétique;1,4 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,4 g;FALSE
La Biosthétique Sun Care Body Lotion SPF 50;002396;<p>Grazie a una combinazione di filtri UV altamente efficaci e ingredienti naturali ad azione cellulare, la lozione solare resistente all’acqua e priva di profumo protegge la pelle del viso e del corpo dai danni causati dal sole.</p>;https://www.labiosthetique.it/sun-care-body-lotion-spf-50;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;54,50 EUR;new;in stock;4040218846799;La Biosthétique;200 ml;Trattamenti pelle;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;200 ml;FALSE
La Biosthétique Spa Wellness Hair Shampoo;120725;Shampoo wellness per capelli;https://www.labiosthetique.it/spa-wellness-hair-shampoo?childSku=4040218855999;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;23,00 EUR;new;in stock;4040218855999;La Biosthétique;250 ml;Hair & Scalp Care;Health & Beauty > Personal Care > Hair Care;1 l;250 ml;FALSE
La Biosthétique Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;120107;Trattamento rapido e rivitalizzante del colore per i capelli biondo-freddo, o decolorati, con complesso protettivo del colore e complesso lucentezza UV. No Yellow Conditioner .07 Crystal tratta e ristruttura le tonalità bionde fredde di capelli naturali, colorati o decolorati, li idrata e ne rivitalizza la luminosa brillantezza cristallina.;https://www.labiosthetique.it/glam-colour-icy-crystal-07-lv-colouring-conditioner;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;31,00 EUR;new;in stock;4040218871999;La Biosthétique;150 ml;Hair & Scalp Care;Health & Beauty > Personal Care > Hair Care;1 l;150 ml;FALSE
La Biosthétique Automatic Pencil for Lips LL32 Rosewood;019055;La matita contorno labbra, resistente all’acqua garantisce labbra meravigliose e ben definite.;https://www.labiosthetique.it/automatic-pencil-for-lips?childSku=4040218888799;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg;24,50 EUR;new;in stock;4040218888799;La Biosthétique;0,35 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;0,35 g;FALSE
La Biosthétique Tinted Eyebrow Gel;PF0099;Il gel colorato garantisce sopracciglia perfettamente modellate, dall’aspetto più folto, ne integra i vuoti e le fissa con un finish matt naturale.;https://www.labiosthetique.it/tinted-eyebrow-gel;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/t/i/tinted_eyebrow_gel_247581_f5574dd.jpg/tinted_eyebrow_gel_247581_f5574dd.jpg;0,00 EUR;new;in stock;4040999PF0099;La Biosthétique;;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;;FALSE
La Biosthétique Brilliant Nail Top Coat;020607;Finish lucido, protettivo, a lunga durata, tutto in un solo prodotto: Brilliant Nail Top Coat si applica come fissatore sopra lo smalto colorato, lo protegge e ne prolunga la durata.;https://www.labiosthetique.it/brilliant-nail-top-coat;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;19,00 EUR;new;in stock;4040218789898;La Biosthétique;9 ml;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;9 ml;FALSE
La Biosthétique Pencil for Eyes Violet Silk;017524;La consistenza morbida e unica di questa straordinaria matita delicata permette un’applicazione estremamente precisa. Dona all’occhio un’espressività vivace e naturale.;https://www.labiosthetique.it/pencil-for-eyes?childSku=4040218875898;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;21,50 EUR;new;in stock;4040218875898;La Biosthétique;1,06 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;1 g;1,06 g;FALSE
La Biosthétique Harmonising Wellness Tea Bustine;002142;La tisana armonizzante Wellness Tea porta il corpo a raggiungere un rilassato equilibrio, agendo dall'interno. I suoi ingredienti, provenienti da coltivazioni biologiche controllate, si ispirano all’apprezzata fragranza della linea Spa.;https://www.labiosthetique.it/harmonising-wellness-tea?childSku=4040218879698;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg;11,00 EUR;new;in stock;4040218879698;La Biosthétique;30 g;Trattamenti pelle;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 kg;30 g;FALSE
La Biosthétique Scalp Care Set Méthode Clarifiante;012938;<p>La routine di trattamenti di Méthode Clarifiante regola l'eccessiva produzione di sudore, ripristina l'equilibrio della cute e migliora la qualità del capello, per una freschezza duratura e capelli visibilmente sani.</p>;https://www.labiosthetique.it/scalp-care-set-methode-clarifiante;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/c/scalp_care_set_m_thode_clarifiante_411245_1St_ck_4e4ffe5.jpg/scalp_care_set_m_thode_clarifiante_411245_1St_ck_4e4ffe5.jpg;37,50 EUR;new;in stock;4040218892598;La Biosthétique;1 pcs;Hair & Scalp Care;Health & Beauty > Personal Care > Hair Care;;1 pcs;FALSE
La Biosthétique Homme Hair Beard Body Wash;003939;3 in 1: Gel doccia, shampoo e shampoo per barba in un unico prodotto. Questo prodotto tutto in uno dal profumo inebriante deterge delicatamente, prendendosi cura della pelle e dei capelli.;https://www.labiosthetique.it/hair-beard-body-wash?childSku=4040218802597;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;9,50 EUR;new;in stock;4040218802597;La Biosthétique;75 ml;Hair & Scalp Care,Trattamenti pelle;Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;75 ml;FALSE
La Biosthétique Comforting Hydro Toner;003737;Il tonico benefico lenisce i sintomi di una pelle sensibile, irritata. Dona ricca idratazione e prepara la pelle in maniera ottimale ai passaggi successivi del trattamento. Per tutti gli amanti di Visalix Sensitif questo sarà il vostro nuovo prodotto preferito.;https://www.labiosthetique.it/comforting-hydro-toner?childSku=4040218868197;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;6,50 EUR;new;in stock;4040218868197;La Biosthétique;50 ml;Trattamenti pelle;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;50 ml;FALSE
La Biosthétique Hairloss Control Scalp Concentrate;120931;Il concentrato per la cute rivitalizza le radici dei capelli e ne prolunga il ciclo di vita. Affronta la caduta con meccanismi d'azione differenziati, favorisce la crescita dei capelli e ne migliora in modo significativo la qualità e la densità.;https://www.labiosthetique.it/hairloss-control-scalp-concentrate;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;161,00 EUR;new;in stock;4040218871197;La Biosthétique;100 ml;Hair & Scalp Care;Health & Beauty > Personal Care > Hair Care;1 l;100 ml;FALSE
La Biosthétique Clarifying Spot Gel (ex Likopan Gel);002739;Hydro-gel purificante per un trattamento mirato ed efficace delle aree cutanee interessate da punti neri e brufoli. Per tutti gli amanti di Lipokane Gel questo sarà il vostro nuovo prodotto preferito.;https://www.labiosthetique.it/clarifying-spot-gel;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg;24,50 EUR;new;in stock;4040218882797;La Biosthétique;15 ml;Trattamenti pelle;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;15 ml;FALSE
La Biosthétique Liquid Glam;021278;Il gel glitterato trasparente e versatile crea riflessi scintillanti sulla pelle e mette in risalto occhi, zigomi, labbra o décolleté.;https://www.labiosthetique.it/liquid-glam;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;34,50 EUR;new;in stock;4040218876796;La Biosthétique;4 ml;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;1 ml;4 ml;FALSE
La Biosthétique Liquid Lipstick;PF0096;La textura morbida e vellutata di Liquid Lipstick piace anche per l’effetto colore intenso e per il suo finish opaco della seta.;https://www.labiosthetique.it/liquid-lipstick;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_lipstick_260683_80b088f.jpg/liquid_lipstick_260683_80b088f.jpg;0,00 EUR;new;in stock;4040999PF0096;La Biosthétique;;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;;FALSE
La Biosthétique Sun Care Stick SPF 50+;002628;La crema solare con SPF 50+, che si scioglie delicatamente, protegge la pelle sensibile del viso e del corpo dalle scottature solari e dai danni profondi causati dai raggi UV.;https://www.labiosthetique.it/sun-care-stick-spf-50;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg;25,50 EUR;new;in stock;4040218848595;La Biosthétique;8 g;Trattamenti pelle;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 kg;8 g;FALSE
La Biosthétique Colour Protection Structure Restoring Treatment;123212;In due fasi questo trattamento intensivo per capelli ripara e rigenera la struttura interna ed esterna del capello danneggiato, lo rinforza, impedisce che si spezzi e lo protegge dagli agenti ambientali nocivi nonché da una precoce perdita di colore.;https://www.labiosthetique.it/colour-protection-structure-restoring-treatment;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg;76,50 EUR;new;in stock;4040218849295;La Biosthétique;1 set;Hair & Scalp Care;Health & Beauty > Personal Care > Hair Care;1 l;1 set;FALSE
La Biosthétique After Sun Soothing Hydro Spray;002241;L’idro-spray rinfrescante lenisce e rilassa immediatamente la pelle stressata dal sole e dona preziosa idratazione.;https://www.labiosthetique.it/after-sun-soothing-hydro-spray;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg;20,00 EUR;new;in stock;4040218863895;La Biosthétique;100 ml;Trattamenti pelle;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;100 ml;FALSE
La Biosthétique Fortifying Shampoo;120613;Lo shampoo delicato rinforza le radici dei capelli, ridona vigore ai capelli indeboliti e fragili e prepara il cuoio capelluto ai trattamenti successivi anticaduta e contro i disturbi della crescita.;https://www.labiosthetique.it/fortifying-shampoo;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg;32,50 EUR;new;in stock;4040218871395;La Biosthétique;250 ml;Hair & Scalp Care;Health & Beauty > Personal Care > Hair Care;1 l;250 ml;FALSE
