title;id;description;link;image_link;price;condition;availability;gtin;brand;size;product_type;google_product_category;unit_pricing_base_measure;unit_pricing_measure;is_bundle
La Biosthétique Perfect Boost;017945;De mascarabasis Perfect Boost optimaliseert niet alleen het mascararesultaat van de wimpers. Het zorgt ook voor extensieve verlenging en maximaal volume – in minimale tijd.;https://www.labiosthetique.nl/nl/perfect-boost;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;27,50 EUR;new;in stock;4040218772999;La Biosthétique;8 ml;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;8 ml;FALSE
La Biosthétique Eyeshadow Pen Smoky Topaz;016399;Bruikbaar als oogschaduw of eyeliner: oogschaduwpen met romige, zachte textuur die gemakkelijk aan te brengen is en uit te vagen;https://www.labiosthetique.nl/nl/eyeshadow-pen?childSku=4040218791099;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;25,00 EUR;new;in stock;4040218791099;La Biosthétique;1,4 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,4 g;FALSE
La Biosthétique Magic Shadow Duo Dusty Rose & Maroon;016082;Deze poederoogschaduw laat het oog langaanhoudend en zijdeachtig mat stralen.;https://www.labiosthetique.nl/nl/magic-shadow-duo?childSku=4040218797299;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg/magic_shadow_duo_dusty_rose_maroon_115239_3g_f677460.jpg;23,00 EUR;new;in stock;4040218797299;La Biosthétique;3 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;3 g;FALSE
La Biosthétique Smart Liner Dark Brown;017615;Deze vloeibare long lasting eyeliner past zich zonder problemen aan elke wens aan: decent of sensueel – maar altijd langaanhoudend.;https://www.labiosthetique.nl/nl/smart-liner?childSku=4040218819199;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/m/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg/smart_liner_dark_brown_169215_1_7ml_d85cbf3.jpg;23,00 EUR;new;in stock;4040218819199;La Biosthétique;1,7 ml;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,7 ml;FALSE
La Biosthétique Eyeshadow Pen Cloudy Lilac;016301;Bruikbaar als oogschaduw of eyeliner: oogschaduwpen met romige, zachte textuur die gemakkelijk aan te brengen is en uit te vagen;https://www.labiosthetique.nl/nl/eyeshadow-pen?childSku=4040218829099;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;25,00 EUR;new;in stock;4040218829099;La Biosthétique;1,4 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;1,4 g;FALSE
La Biosthétique Sun Care Body Lotion SPF 50;002396;Met een combinatie van effectieve, hoog gedoseerde UV-filters en celactieve, natuurlijke werkstoffen beschermt de waterbestendige, parfumvrije zonnemelk de huid tegen door de zon veroorzaakte schade.;https://www.labiosthetique.nl/nl/sun-care-body-lotion-spf-50;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;58,00 EUR;new;in stock;4040218846799;La Biosthétique;200 ml;Gezichts- en lichaamsverzorging;Health & Beauty > Personal Care > Cosmetics > Skin Care;1 l;200 ml;FALSE
La Biosthétique Spa Wellness Hair Shampoo;120725;Wellness-shampoo voor dagelijks gebruik;https://www.labiosthetique.nl/nl/spa-wellness-hair-shampoo?childSku=4040218855999;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;26,00 EUR;new;in stock;4040218855999;La Biosthétique;250 ml;Haarverzorging;Health & Beauty > Personal Care > Hair Care;1 l;250 ml;FALSE
La Biosthétique Automatic Pencil for Lips LL32 Rosewood;019055;De waterbestendige lipcontourstift zorgt voor prachtige, gedefinieerde lippen.;https://www.labiosthetique.nl/nl/automatic-pencil-for-lips?childSku=4040218888799;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg;26,00 EUR;new;in stock;4040218888799;La Biosthétique;0,35 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;0,35 g;FALSE
La Biosthétique Tinted Eyebrow Gel;PF0099;De getinte gel zorgt voor perfect gevormde, vollere wenkbrauwen, vult gaten op en fixeert met een natuurlijke matte afwerking.;https://www.labiosthetique.nl/nl/tinted-eyebrow-gel;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/t/i/tinted_eyebrow_gel_247581_f5574dd.jpg/tinted_eyebrow_gel_247581_f5574dd.jpg;0,00 EUR;new;in stock;4040999PF0099;La Biosthétique;;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;;FALSE
La Biosthétique Automatic Pencil for Eyes K05 Black;017339;Het waterbestendige oogpotlood zorgt met zijn onovertrefbare textuur voor kleurintensieve en langaanhoudende ogenblikken.;https://www.labiosthetique.nl/nl/automatic-pencil-for-eyes?childSku=4040218765298;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg/automatic_pencil_for_eyes_k05_black_247601_0_28g_4e240c3.jpg;24,00 EUR;new;in stock;4040218765298;La Biosthétique;0,28 g;Make-up;Health & Beauty > Personal Care > Cosmetics > Makeup;;0,28 g;FALSE
